name,group,install,first_post_window,ti_died,days_in_field_at_death,ti_before,st_at_death,prior_episodes,posts_after_death,last_post,dark_days,id
70271950,Eastwood Hills MHC-CUST,2025-12-17,2025-11-21,2026-06-16,181,209,362,1,21,2026-06-21,84,3277c660-c6c6-11f0-9842-6d029661c338
72389644,GENII Production Failures,2025-09-29,2025-08-26,2026-03-31,183,209,362,4,165,2026-05-14,122,8f30cda0-82e4-11f0-8b4a-0d0197d44616
77041392,GENII Production Failures,2025-07-29,2025-05-29,2026-02-01,187,181,10322,0,2,2026-02-01,224,86545bb0-3d0d-11f0-8e55-b138a1c03c8e
70269749,Alta Vista MHC-CUST,2025-11-20,2025-07-14,2026-06-01,193,267,16048,3,2,2026-06-01,104,0170a030-6133-11f0-9fcd-87e94e720126
65832035,Alta Vista MHC-CUST,2025-11-20,2025-11-03,2026-06-02,194,219,16048,1,3,2026-06-02,103,40fb5330-c93f-11ef-8f43-73c96c0de66f
72715487,Needham MHP,2025-12-29,2025-12-05,2026-07-13,197,296,362,0,30,2026-07-29,46,e64a61f0-d226-11f0-b691-d965a62fa4fa
75363455,Pace East,2026-01-28,2026-01-20,2026-08-20,204,296,362,2,2,2026-08-20,24,cd98c350-f651-11f0-b153-63024d3301e1
65823083,GENII Production Failures,2025-04-22,2025-05-02,2025-12-22,244,119,10222,0,5,2026-01-01,255,b15c70d0-1ba3-11f0-8272-45e3ef110760
65825773,GENII Production Failures,2025-05-23,2025-05-02,2026-01-24,247,180,10300,0,4,2026-01-25,231,08b73470-e66e-11ef-bcd4-5bcca9a9134f
65825476,GENII Production Failures,2025-08-19,2025-08-03,2026-04-23,247,149,10268,0,5,2026-04-23,143,72639f70-e313-11ef-a5fd-a97d57576080
77056945,GENII Production Failures,2025-07-25,2025-05-30,2026-03-31,249,219,363,0,9,2026-05-12,124,fd6bdf20-3db7-11f0-8e55-b138a1c03c8e
72391160,Stevens Park MHC,2025-11-15,2025-10-19,2026-07-25,252,159,10300,1,2,2026-07-25,50,75361ca0-ad43-11f0-98a7-c3bc57f9afe3
72383944,La Comunidad MHC-CUST,2025-10-27,2025-10-19,2026-07-09,255,296,16131,0,5,2026-07-09,66,e5039440-ad3e-11f0-98a7-c3bc57f9afe3
77057513,GENII Production Failures,2025-08-19,2025-05-19,2026-05-10,264,209,16022,0,2,2026-05-10,126,ce3a56f0-3524-11f0-8e55-b138a1c03c8e
72378753,Whispering Pines Mobile Estates-CUST,2025-10-07,2025-09-30,2026-07-09,275,296,16131,1,51,2026-07-09,66,642c5850-9e77-11f0-b5af-5dfa9891b485
77056168,GENII Production Failures,2025-07-10,2025-05-30,2026-04-13,277,159,10300,0,22,2026-04-15,151,8d272760-3d8a-11f0-8e55-b138a1c03c8e
72379827,Virginia Beach HOA - Cust,2025-11-23,2025-09-23,2026-09-01,282,344,17037,12,5,2026-09-02,11,682a1ea0-98ec-11f0-b5af-5dfa9891b485
72389206,Oak Forest Estate MHC,2025-10-20,2025-08-29,2026-07-31,284,296,16185,1,13,2026-08-12,32,e1f8a710-84e2-11f0-8b4a-0d0197d44616
72382532,Westview Mobile Estates MHC,2025-09-06,2025-08-27,2026-06-30,297,149,10292,0,1,2026-06-30,75,dff9c3c0-8377-11f0-8b4a-0d0197d44616
77042069,Estancia MHP-CUST,2025-08-19,2025-05-19,2026-06-15,300,296,16130,9,3,2026-06-15,90,91f5b860-3524-11f0-8e55-b138a1c03c8e
72388588,Whispering Pines Mobile Estates-CUST,2025-10-07,2025-09-30,2026-08-13,310,296,16131,9,8,2026-08-13,31,74dc0e30-9e7b-11f0-b5af-5dfa9891b485
70264443,Roosevelt MHC,2025-07-24,2025-07-16,2026-06-01,313,209,362,3,6,2026-06-02,103,9b6e7ea0-62c3-11f0-8658-7f4e94e41769
70263056,Stafford MHC-CUST,2025-09-29,2025-09-11,2026-08-10,315,314,16185,1,4,2026-08-10,34,e2aa8120-8f86-11f0-8b4a-0d0197d44616
77055962,GENII Production Failures,2025-09-04,2025-05-30,2026-07-18,317,209,16185,1,1,2026-07-18,57,36ef04a0-3d74-11f0-8e55-b138a1c03c8e
72390550,GENII Production Failures,2025-10-01,2025-09-25,2026-08-21,324,314,17037,15,6,2026-08-21,23,98f0b200-9a69-11f0-b5af-5dfa9891b485
77056747,Shady Grove,2025-08-21,2025-05-29,2026-09-06,381,209,17058,1,6,2026-09-06,7,a2ffd5f0-3d0d-11f0-8e55-b138a1c03c8e
77061747,Oak Forest Estate MHC,2025-07-10,2025-06-04,2026-07-31,386,260,16185,1,2,2026-08-01,43,8d343250-4151-11f0-8e55-b138a1c03c8e
65824057,GENII Production Failures,2025-02-06,2025-05-06,2026-03-19,406,159,10292,0,1,2026-03-19,178,851588a0-e240-11ef-a5fd-a97d57576080
65829866,GENII Production Failures,2025-02-07,2025-05-06,2026-03-20,406,181,362,0,106,2026-04-18,148,8b6f2e10-e2fc-11ef-a5fd-a97d57576080
65829304,GENII Production Failures,2025-02-05,2025-05-06,2026-05-07,456,159,10295,0,1,2026-05-07,129,8933c560-e07d-11ef-a5fd-a97d57576080
65825732,GENII Production Failures,2025-02-07,2025-05-06,2026-08-15,554,209,362,1,1,2026-08-15,29,3c0a3150-e304-11ef-a5fd-a97d57576080
68612579,All,?,?,?,?,?,?,0,0,04/13 04:58,518,018ad920-c7cb-11ef-8f43-73c96c0de66f
72386871,All,?,2025-09-23,2026-05-25,?,260,16022,14,37,2026-06-22,83,04a11150-98e6-11f0-b5af-5dfa9891b485
72381310,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,05275f70-9e64-11f0-b5af-5dfa9891b485
72383811,All,?,2025-09-30,2025-09-30,?,?,10185,-1,3,2025-09-30,348,0767cf00-9e63-11f0-b5af-5dfa9891b485
70268741,All,?,2025-09-23,2026-01-17,?,181,10322,1,52,2026-03-04,193,08af94b0-98e6-11f0-b5af-5dfa9891b485
72715271,All,?,2025-12-02,2025-12-17,?,159,10300,0,5,2025-12-21,266,08bf2ff0-cfab-11f0-9bfa-a7eff651ff22
65822382,All,?,2025-08-02,2026-08-23,?,159,10292,1,1,2026-08-23,21,0c5abe00-c943-11ef-8f43-73c96c0de66f
72381880,All,?,2025-10-14,2025-10-14,?,?,10185,-1,2,2025-10-14,334,0c69ab00-a943-11f0-98a7-c3bc57f9afe3
72383498,All,?,2025-09-23,2026-04-19,?,10544,15126,8,35,2026-05-21,115,12f1d320-98eb-11f0-b5af-5dfa9891b485
70269483,All,?,2025-10-14,2025-10-14,?,?,10185,-1,5,2025-10-14,334,1650f600-a939-11f0-98a7-c3bc57f9afe3
70262603,All,?,2025-09-30,2025-09-30,?,?,10185,-1,4,2025-11-23,294,1df16450-9e65-11f0-b5af-5dfa9891b485
70259765,All,?,2025-09-30,2025-09-30,?,?,10185,-1,2,2025-09-30,348,2207e8e0-9e63-11f0-b5af-5dfa9891b485
72382417,All,?,2025-09-25,2026-03-11,?,149,362,2,193,2026-04-02,164,2d61b090-9a30-11f0-b5af-5dfa9891b485
72381781,All,?,2025-09-30,2025-09-30,?,?,10185,-1,3,2025-10-04,344,2ea06e30-9e7a-11f0-b5af-5dfa9891b485
70272446,All,?,2025-09-30,2025-09-30,?,?,10185,-1,3,2025-11-23,294,31b2a420-9e62-11f0-b5af-5dfa9891b485
72382565,All,?,2025-09-23,2026-05-13,?,260,16022,9,63,2026-05-20,116,32d03010-98e6-11f0-b5af-5dfa9891b485
72387234,All,?,2025-10-14,2025-10-14,?,159,10290,0,1,2025-10-14,334,337cb610-a934-11f0-98a7-c3bc57f9afe3
72389859,All,?,2025-09-25,2026-06-12,?,272,16048,3,36,2026-07-12,63,342d4300-9a2e-11f0-b5af-5dfa9891b485
