id,group,groups,class,last_post,age_d,posts_24h,boots_24h,fwVer,fwVerTi,tiUartVer,bBootCount,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,VddAdc,deviceState,failedCal,tiError,tiRecoveryExhausted,tiParked,sfProbeHeld,radioOveruseCnt,meterVal,tiBootCnt
014ebe90-dabc-11f0-b691-d965a62fa4fa,All,2,stale,12/16 12:28,270.9,0,,10300,159,,9,4,,,,,Not Metering,,,,,,1,0,
015dee50-0c30-11ed-8b39-15ed4ae7fa88,The Lowell,2,stale,01/10 05:54,246.1,0,,10671,,,23,20,,,,,Metering,,,,,,1,21514,
018ad920-c7cb-11ef-8f43-73c96c0de66f,All,2,stale,04/13 04:58,518.2,0,,10180,0,,2,6,,,,,Not Metering,,No signal detected in both upstream and downstream channels.,,,,2,0,
019299d0-82e2-11f0-8b4a-0d0197d44616,Roosevelt MHC,2,ok,09/13 04:02,0.2,1,0,16131,296,,3627,4,0,0,,3673,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,7494.444,
019f47f0-26b4-11f0-8272-45e3ef110760,Parkwood,2,ok,09/13 08:59,0.0,2,0,17037,344,344,29,6,0,0,24,3641,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,54649.227,1
01a57e00-5bb0-11f0-9fcd-87e94e720126,Aurora MHC,2,ok,09/13 02:57,0.3,1,0,16022,260,,59,6,,0,,3515,Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,1,30812.311,
01aae7c0-6fee-11ec-b936-63505e902037,Glenn Dorado,2,stale,02/17 07:27,208.1,0,,10671,,,55,20,,,,,Metering,,,,,,1,72641,
01b1e920-c7cb-11ef-8f43-73c96c0de66f,GENII Production Failures,2,stale,12/08 03:45,279.2,0,,10300,159,,74,6,,,,,Metering,,No signal detected in both upstream and downstream channels.,,,,1,4730.443,
01b4afa0-4128-11ee-af4e-2b411221b2af,All,2,stale,01/27 01:31,960.3,0,,10645,,,886,4,,,,,Standby,,,,,,10,2796,
01b70e40-1500-11ec-94c5-95a06fbff7ce,Canyon Heights,2,stale,05/06 03:24,1226.3,0,,10560,,,42,,,,,,Metering,,,,,,,31052,
01c51230-b200-11ed-8426-5912eec2be3c,Northview,3,stale,12/30 04:33,988.2,0,,10631,,,17,,,,,,Metering,,,,,,,9446,
01c8c500-82e2-11f0-8b4a-0d0197d44616,Roosevelt MHC,2,ok,09/13 05:44,0.2,1,0,16131,296,,92,4,0,0,,3666,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,36973.086,
