serial,property,apartment,fwVer,fwVerTi,gain,up_ppk,dn_ppk,qual,tnormStddev
75365484,Roosevelt MHC,95,16131,296,50,2123,2208,100,260
70259740,Country Squire MHC,53B,16185,314,40,2122,2159,100,627
79466452,Shady Lane MHP,144 Shady Lane - Test,17028,341,44,2119,2125,100,248
70263288,Piney Park,42,16185,314,35,2113,2052,100,92
72389115,Crystal Acres MHC,7,17032,344,50,2112,1974,100,108
79461040,Roosevelt MHC,106,16131,296,40,2110,2181,100,212
75368488,Broadway MHP DesMoines,8,17037,344,47,2106,2134,100,131
72380288,Rusk MHC,58,17037,344,47,2104,2100,100,181
75369494,Pleasant Acres,33,16131,296,35,2102,2061,100,350
79461388,Holly Tree MHP,58,16185,314,35,2093,1998,100,243
75363505,Pleasant Acres,42,17037,344,35,2085,2054,100,130
79461537,Virginia Beach,15,17037,344,35,2085,1974,100,34
65830047,Oakwood MHP,90,16185,314,45,2080,2109,100,234
72382656,Virginia Beach,248,17037,344,38,2053,2081,100,41
77053868,The Oaks MHC,12,16131,296,55,2045,1981,100,246
75365146,Grand Valley Estates MHC,53-GRANDVALLEY-DR,17037,344,41,2014,1870,100,350
72383647,Hillview MHC,2,17037,344,53,2013,1931,100,282
79456115,Broadway MHP DesMoines,16,17037,344,53,2013,1921,100,258
75367506,Roosevelt MHC,6,17037,344,47,2008,1944,100,106
79463145,Kay Bee Mobile Villa MHP,57,16131,296,35,2007,2071,100,142
77054049,Aurora MHC,124,16131,296,30,2006,1938,100,162
72723762,Coleman Village MHC,150,17037,344,53,2006,1960,100,199
72390154,Virginia Beach,172,17037,344,44,1993,1834,100,288
79462774,Ontario Place MHC,62,17037,344,35,1991,1976,100,164
75366300,Kay Lou MHC,2602-I,16131,296,40,1991,1980,100,176
72389222,Canada,A1TC,17037,344,44,1990,2100,100,222
75365260,Willapa Shores,9,17028,341,38,1984,1910,100,264
72393018,Stafford MHC,520,17037,344,50,1981,2052,100,133
70262553,Virginia Beach,225,17037,344,35,1977,1981,100,135
79463558,Virginia Beach,131,17037,344,29,1973,2003,100,174
70261001,PW2,3132LINDA,16185,314,45,1971,1954,100,247
72379264,Crystal Acres MHC,1,17037,344,50,1961,2121,100,460
79461271,Paola MHC,19,17037,344,35,1960,1978,100,461
72721287,Kay Bee Mobile Villa MHP,59,16131,296,50,1960,1952,100,137
70263619,Ponderosa MHC,64,17037,344,35,1956,1933,100,173
72383332,Virginia Beach,98,17037,344,44,1952,1896,100,183
72724471,Riverview Apartments MF,25,17037,344,44,1951,1981,100,32
75363323,River Bend,30,17037,344,50,1951,1937,100,302
75369676,Oak Tree MHP,15,16130,296,35,1948,1963,100,183
75369965,Highland Terrace,A,16185,314,35,1946,1994,100,111
75363596,Big Country Mobile Home & RV Park,3606-B,17037,344,38,1937,1962,100,221
72719216,Riverview Apartments MF,29,17037,344,44,1935,1958,100,39
70268832,Shady Lane MHP,116 Shady Lane,17028,341,26,1932,1975,100,41
70269707,Country Squire MHC,5,16185,314,45,1929,1874,100,84
72386251,Virginia Beach,43,17037,344,41,1924,1926,100,204
75367878,Grand Valley Estates MHC,4-DOUBLETREE-CT,17037,344,44,1922,1891,100,442
70263049,Chickadee Lane MHC,201-TOWHEE,16185,314,50,1916,2010,100,274
75367928,Parkway MHC,51,17032,344,44,1914,2021,100,102
75366573,Roosevelt MHC,89,16131,296,40,1908,1853,100,150
65824917,Shady Lane MHP,40 Maple Lane APT #0,17028,341,26,1901,1910,100,42
72720628,Kachina,2,16131,296,55,1898,1918,100,133
75372654,Noble Estates MHC,562,17037,344,32,1898,2050,100,359
72378779,Holly Tree MHP,36,16185,314,35,1885,1915,100,25
79461529,Country Squire MHC,74,16185,314,40,1879,1837,100,65
70261472,Piney Park,11,16185,314,45,1876,1829,100,263
70268774,Rusk MHC,37,17037,344,38,1876,1872,100,77
75372548,Virginia Beach,92,17037,344,44,1875,1862,100,46
72715180,Little Acres MHC,3,17037,344,35,1867,1858,100,243
79458392,Broadway MHP DesMoines,13,17037,344,41,1866,1709,100,447
75366540,Roosevelt MHC,91,16131,296,35,1865,1818,100,201
75371813,Broadway MHP DesMoines,22,17037,344,50,1864,1994,100,500
72720578,Backwater MHC,12,17032,344,35,1862,1941,100,87
72714910,Roosevelt MHC,86,16131,296,50,1853,1979,100,120
75364057,Rusk MHC,7,17037,344,47,1852,1982,100,492
75361723,Heritage Apartments,B5,16131,296,40,1849,1923,100,74
75363588,Pleasant Acres,9,16131,296,35,1846,1895,100,730
75372050,Rusk MHC,16,17037,344,47,1841,1856,100,317
75361194,Stafford MHC,254,17037,344,41,1839,1900,100,42
75369890,Grand Valley Estates MHC,4-DOUBLETREE-DR,17037,344,38,1838,1942,100,41
72392580,Westview Mobile Estates MHC,119,17037,344,50,1838,1850,100,185
75360196,Roosevelt MHC,124,16131,296,40,1838,1949,100,184
75368439,Shady Lane MHP,44 Shady Lane,17028,341,41,1836,1889,100,119
65824388,Parkview MHP,D68,17037,344,44,1834,1785,100,398
72383803,Minot Gardens MHC,1,17037,344,32,1834,1844,100,23
77059246,Steve Schneiter 5YR 5plex-CO,1579,17037,344,35,1830,1840,100,51
72719315,Parker MHC,41,17037,344,38,1828,1852,100,252
79460315,Oswego MHP,LOT15,17037,344,50,1826,1742,100,287
65823950,Parkway MHC,17,17032,344,41,1824,1953,100,97
65830088,Forest at Sherman MHC,56,17037,344,35,1823,2053,100,226
72389750,Westview Mobile Estates MHC,117,17037,344,38,1820,1971,100,177
72387267,La Comunidad MHC,22,17037,344,35,1816,1888,100,377
72719620,Rusk MHC,23,17037,344,47,1814,1756,100,301
72382011,Rustic Acres MHC,50,17037,344,44,1812,1773,100,74
70266778,Chickadee Lane MHC,403-QUAILRUN,16185,314,50,1808,1982,100,379
75374593,Parkwood,5192JUSTIN,17037,344,38,1801,1833,100,34
72391996,Lafountaine MHC,136CC,16131,296,40,1795,1847,100,42
79462725,Holly Tree MHP,80,16185,314,40,1795,1855,100,75
72390626,Roosevelt MHC,142,16131,296,30,1787,1884,100,174
75371441,Rusk MHC,46,17037,344,35,1778,1818,100,128
75362283,Big Country Mobile Home & RV Park,3607-D,17037,344,41,1777,1765,100,201
72382631,Virginia Beach,228,17037,344,35,1774,1794,100,59
72722186,Backwater MHC,47,17032,344,32,1771,1755,100,30
72722046,Crystal Acres MHC,16,17032,344,38,1769,1756,100,38
77059287,Piney Park,7,16185,314,45,1768,1763,100,425
65828520,Shady Lane MHP,40 Maple Lane APT #4,17028,341,26,1765,1792,100,170
79460638,Grand Valley Estates MHC,4-BONEVALLEY-DR,17037,344,32,1765,1897,100,51
72380916,Virginia Beach,198,17037,344,41,1764,1899,100,206
65827720,Parkview MHP,20,16185,314,40,1759,1723,100,177
75368173,Heritage Apartments,B6,16131,296,50,1755,1749,100,82
79463160,Grand Valley Estates MHC,31-IMPERIALVALLEY-DR,17037,344,38,1755,1788,100,822
72716519,Riverview Apartments MF,APT16,17037,344,38,1749,1734,100,31
72720875,Kingsbrook MHC,301CA,16131,296,35,1749,1764,100,127
72722574,Riverview Apartments MF,2,17037,344,41,1746,1700,100,218
79462048,Holly Tree MHP,39,17037,344,35,1746,1707,100,785
75364024,Roosevelt MHC,41,16185,314,35,1740,1777,100,39
72722343,Kay Bee Mobile Villa MHP,35,16131,296,40,1739,1763,100,82
72380015,Whispering Pines Mobile Estates,127,16131,296,35,1734,1742,100,59
79463517,Crystal Acres MHC,15,17032,344,44,1731,1577,100,59
70262587,Virginia Beach,7,17037,344,38,1726,1670,100,47
75361921,Broken Arrow MHP,6119-197TH-ST,16131,296,45,1721,1765,100,57
79459507,Virginia Beach,48,17037,344,26,1717,1748,100,22
72384850,Ibiza Village2,5,17037,344,53,1713,1966,100,364
79466460,Grand Valley Estates MHC,1-AMOSVALLEY-DR,17037,344,29,1711,1744,100,94
72384066,Sunnyvale MHP,130,16185,314,35,1710,1738,100,195
70271448,Virginia Beach,189,17037,344,50,1709,1685,100,241
75365807,Kay Lou MHC,708-K,16131,296,50,1706,1721,100,68
70259179,Aurora MHC,191,16131,296,50,1698,1690,100,171
75368926,Haven MHP,23,16131,296,55,1696,1744,100,294
65830567,Estancia MHP,138,16185,314,55,1693,1825,100,195
72390451,Virginia Beach,111,17037,344,44,1693,1728,100,90
72719356,Roosevelt MHC,102,17037,344,38,1691,1500,100,46
79461321,Roosevelt MHC,47,16131,296,40,1690,1613,100,23
75368652,Grand Valley Estates MHC,4-IMPERIALVALLEY-DR,17037,344,38,1689,1581,100,251
79464390,Paola MHC,15,17037,344,35,1688,1790,100,169
72386509,Chickadee Lane MHC,928-TOWHEE,16185,314,45,1688,1692,100,42
70267966,Shady Lane MHP,40 Maple Lane APT #5,17028,341,26,1687,1682,100,19
72391954,Rusk MHC,48,17037,344,38,1684,1722,100,104
70269301,Crystal Acres MHC,41,17032,344,41,1683,1721,100,196
75360410,Noble Estates MHC,522,17032,344,35,1683,1424,100,272
70263767,Oak Forest Estate MHC,4,17037,344,44,1681,1785,100,402
72383431,Virginia Beach,97,17037,344,35,1680,1659,100,32
65822697,Parkview MHP,22,16130,296,50,1678,1733,100,295
70271802,Country Squire MHC,38,16185,314,40,1677,1664,100,39
79454474,Broadway MHP DesMoines,2,17037,344,44,1674,1731,100,52
72391772,Backwater MHC,39,17032,344,35,1674,1671,100,29
72720248,Kay Bee Mobile Villa MHP,4,16131,296,35,1673,1681,100,44
75371847,Parkwood,5206JUSTIN,17037,344,29,1670,1489,100,225
72392176,Virginia Beach,47,17037,344,41,1670,1591,100,51
72388760,Roosevelt MHC,R,16131,296,45,1669,1615,100,86
72382854,Chickadee Lane MHC,826-CHICKADEE,16185,314,35,1666,1659,100,30
70269475,Ponderosa MHC,9,17037,344,29,1663,1625,100,112
79460851,Virginia Beach,123,17037,344,26,1663,1660,100,44
75370914,Johnson's Trailer Park,34,17037,344,44,1661,1640,100,216
72714423,GenII Water Flow,NEW-3,17037,344,38,1659,1828,100,1704
70265192,Kingsbrook MHC,3215W,16131,296,35,1656,1690,100,39
70268915,Holly Tree MHP,56,16185,314,35,1655,1712,100,103
79465660,Heritage Apartments,D5,16131,296,40,1655,1648,100,106
75368694,Grand Valley Estates MHC,19-IMPERIALVALLEY-DR,17037,344,29,1655,1661,100,118
75362358,Grand Valley Estates MHC,45-GRANDVALLEY-DR,17037,344,35,1654,1552,100,768
75368256,Grand Valley Estates MHC,15-AMOSVALLEY-DR,17037,344,32,1654,1654,100,68
79466148,Heritage Apartments,E8,16131,296,35,1649,1709,100,88
72390196,Virginia Beach,174,17037,344,35,1647,1640,100,18
79468045,Haven MHP,19,16131,296,30,1646,1682,100,32
72390220,Virginia Beach,108,17037,344,35,1646,1712,100,81
75372795,Grand Valley Estates MHC,47-IMPERIALVALLEY-DR,17037,344,35,1645,1703,100,98
65829577,Holly Tree MHP,73,16185,314,25,1645,1641,100,41
79466296,Rustic Acres MHC,69,17037,344,32,1645,1615,100,53
72716279,Kingsbrook MHC,2810V,16131,296,40,1645,1651,100,37
77055400,Holly Tree MHP,50,17037,344,26,1644,1625,100,112
75362655,Big Country Mobile Home & RV Park,3606-D,17037,344,29,1642,1626,100,90
72391558,Parkview MHP,11,17037,344,44,1642,1616,100,95
77054619,Piney Park,16,16185,314,35,1638,1680,100,257
72721873,Hillview MHC,18,16131,296,55,1637,1685,100,255
72382433,Virginia Beach,183,17037,344,38,1636,1520,100,551
72716170,Crystal Acres MHC,17,17032,344,38,1634,1645,100,37
70273246,Deer Lake MHC,7,16131,296,55,1633,1628,100,157
72392598,Virginia Beach,138,17037,344,41,1631,1581,100,137
70267750,Virginia Beach,30,17037,344,29,1627,1665,100,23
79466353,Paola MHC,5,17037,344,35,1625,1604,100,49
75365914,Pleasant Acres,32,16131,296,35,1618,1701,100,30
65825385,Aurora MHC,149,16131,296,50,1615,1615,100,111
77058461,Kingsbrook MHC,722EL,16131,296,55,1613,1639,100,182
72390279,Kay Lou MHC,2617-M,17032,344,35,1610,1599,100,38
70264088,Carolina Springs MHP,CSP111-1769-GILMOREST,16131,296,50,1608,1574,100,164
75367647,Grand Valley Estates MHC,16-DOUBLETREE-CT,17037,344,26,1606,1536,100,124
73276865,Lake of the Pines Community Association,115-KMB,17037,344,32,1604,1564,100,29
70262389,Rusk MHC,14,17037,344,38,1597,1621,100,42
72390295,Virginia Beach,67,17037,344,53,1596,1605,100,86
72388034,Virginia Beach,193,17037,344,41,1595,1638,100,31
79464168,Holly Tree MHP,79,16185,314,30,1594,1615,100,62
65827761,Estancia MHP,123,16185,314,55,1591,1598,100,499
72390436,Kay Lou MHC,704-K,16131,296,45,1591,1499,100,66
72385204,Ponderosa MHC,24,17037,344,38,1590,1534,100,101
75362168,Grand Valley Estates MHC,48-GRANDVALLEY-DR,17037,344,29,1590,1642,100,128
72385923,Kay Bee Mobile Villa MHP,16,16131,296,30,1587,1521,100,40
75362846,Shelby's Trailer Park,LOT12,16131,296,30,1586,1548,100,139
72714563,Oak Grove MHC,B,16131,296,35,1586,1594,100,27
79461073,Holly Tree MHP,34,16185,314,30,1586,1584,100,36
72382326,Virginia Beach,237,17037,344,26,1584,1577,100,82
72388307,Parkway MHC,43,17032,344,38,1581,1601,100,73
72388828,Westview Mobile Estates MHC,30,17037,344,41,1579,1506,100,65
75371342,Roosevelt MHC,81,16131,296,55,1576,1587,100,151
72383381,Virginia Beach,212,17037,344,35,1575,1533,100,38
72715453,Backwater MHC,35,17032,344,32,1572,1647,100,28
72389016,Ponderosa MHC,23,17037,344,50,1570,1545,100,263
75367662,Big Country Mobile Home & RV Park,3501-D,16130,296,30,1568,1554,100,180
70262058,Kingsbrook MHC,710GR,16131,296,35,1564,1617,100,56
77056184,Aurora MHC,240,16131,296,40,1557,1597,100,31
72715149,Rusk MHC,27,17037,344,47,1556,1488,100,359
70272123,Carolina Springs MHP,CSP43-1745-GIBSONST,16131,296,30,1553,1579,100,27
75368736,Willapa Shores,5,17028,341,44,1551,1658,100,48
72387325,Rusk MHC,50,17037,344,55,1550,1386,100,207
72384512,Virginia Beach,54,17037,344,44,1547,1503,100,59
72722020,Hillview MHC,14,16131,296,45,1543,1614,100,87
65825542,Carolina Springs MHP,CSP4-1788-GIBSONST,17037,344,35,1542,1524,100,57
77061457,Piney Park,C,16185,314,35,1542,1517,100,132
65831078,PW2,3139LINDA,17037,344,44,1541,1564,100,64
72722921,Crystal Acres MHC,25,17032,344,47,1540,1550,100,93
72383779,Virginia Beach,38,17037,344,47,1539,1538,100,88
72714290,Kingsbrook MHC,611FE,16131,296,30,1537,1580,100,30
72380106,Virginia Beach,88,17037,344,38,1531,1449,100,108
75370500,Tuttle Estates MHC,14,16130,296,30,1530,1520,100,53
72722897,Riverview Apartments MF,APT27,17037,344,38,1524,1580,100,41
72723051,Little Acres MHC,9,17037,344,41,1523,1555,100,110
75369882,Grand Valley Estates MHC,18-DOUBLETREE-CT,17037,344,41,1521,1546,100,91
72386152,Virginia Beach,160,17037,344,35,1519,1506,100,36
72392382,Holly Tree MHP,55,16185,314,30,1518,1523,100,51
79454565,Holly Tree MHP,33,16185,314,35,1518,1554,100,104
75361681,Hillview MHC,21A,17037,344,38,1516,1488,100,145
72385170,Virginia Beach,192,17037,344,47,1516,1582,100,78
72717897,Azulejo,1502,17037,344,32,1514,1494,100,66
70271646,Riverview Apartments MF,15,17037,344,35,1514,1444,100,46
65827670,Parkview MHP,83,17037,344,32,1511,1538,100,153
72388737,Chickadee Lane MHC,208-WHIPPOORWILL,16185,314,35,1506,1452,100,29
75370823,Grand Valley Estates MHC,13-GRANDVALLEY-DR,17037,344,35,1502,1537,100,23
77056721,Piney Park,30,16185,314,30,1500,1484,100,61
72715628,Roosevelt MHC,24,16131,296,50,1500,1530,100,162
70265143,Kingsbrook MHC,2806V,16131,296,40,1494,1595,66,5173
72379538,Crystal Acres MHC,50,17037,344,50,1494,1488,100,113
72387507,Backwater MHC,36,17037,344,41,1493,1518,100,48
72379181,Grand Central MHP,23,17037,344,47,1493,1528,100,108
79455810,Shirlee's MHP,10,17032,344,26,1487,1469,100,33
72715115,Eastwood Hills MHC,EH241,16185,314,50,1485,1530,100,91
72388505,Kay Bee Mobile Villa MHP,54,16131,296,35,1483,1434,100,33
79461644,Rustic Acres MHC,67,17037,344,29,1481,1516,100,54
75367613,Haven MHP,18,16131,296,30,1480,1497,100,89
72721675,Sunview MHP,22,17037,344,35,1477,1504,100,88
77036863,Sky Run,19,16131,296,45,1473,1554,100,54
75361673,Kay Bee Mobile Villa MHP,85,16165,302,45,1472,1469,100,91
77041962,Shady Lane MHP,40 Maple Lane APT #1,17028,341,26,1471,1471,100,16
70272305,Hoosier Park MHC,2,17037,344,53,1471,1508,100,114
72385881,Virginia Beach,222,17037,344,29,1469,1433,100,23
79455778,Parkwood,3237MARY,17037,344,26,1468,1453,100,67
72386442,Virginia Beach,164,17037,344,44,1468,1445,100,66
72716154,Oak Grove MHC,102,16131,296,30,1467,1424,100,47
75366961,Roosevelt MHC,93,16131,296,50,1467,1410,100,82
75373827,Shelby's Trailer Park,LOT36,16131,296,35,1466,1538,100,68
79461461,Grand Valley Estates MHC,23-AMOSVALLEY-DR,17037,344,41,1464,1534,100,578
79464762,Virginia Beach,64,17037,344,26,1464,1477,100,48
65824008,Kingsbrook MHC,602FE,16131,296,30,1462,1519,100,23
79454458,Rustic Acres MHC,41,17037,344,32,1460,1441,100,230
70262454,Grand Central MHP,20,16131,296,50,1460,1545,100,116
75367365,Grand Valley Estates MHC,7-LOVELLVALLEY-DR,17037,344,29,1459,1458,100,90
70259732,Oak Forest Estate MHC,37,17037,344,35,1458,1477,100,41
72379629,Backwater MHC,29,17032,344,35,1456,1460,100,44
72383274,Virginia Beach,114,17037,344,32,1453,1412,100,38
75374502,Estancia MHP,167,17037,344,38,1450,1486,100,65
72381773,Ontario Place MHC,91,16185,314,35,1449,1435,100,47
72390899,Virginia Beach,34,17037,344,26,1448,1455,100,15
72390089,Piney Park,55,16185,314,35,1444,1462,100,40
79455091,Grand Valley Estates MHC,24-WOODLYNVALLEY-DR,17037,344,29,1444,1401,100,76
75360691,Pleasant Acres,17,17037,344,41,1443,1807,100,164
75370096,Grand Valley Estates MHC,35-IMPERIALVALLEY-DR,17037,344,29,1442,1488,100,262
75362267,Shelby's Trailer Park,LOT40,16131,296,45,1442,1428,100,91
72379348,Crystal Acres MHC,51,17032,344,44,1439,1502,100,51
72389172,Parkview MHP,38,17037,344,41,1438,1454,100,125
72714076,Little Acres MHC,10,17037,344,29,1434,1396,100,41
75364107,Virginia Beach,112,17037,344,35,1433,1463,100,39
70261142,Ontario Place MHC,88,17037,344,41,1430,1443,100,69
75369023,Heritage Apartments,E5,16131,296,50,1430,1518,100,76
75364420,Grand Valley Estates MHC,18-LEHIGHVALLEY-DR,17037,344,29,1429,1486,100,185
75361020,Heritage Apartments,B4,16131,296,40,1428,1571,100,45
75364917,Big Country Mobile Home & RV Park,3603-D,17037,344,32,1424,1519,100,68
79465447,Kay Lou MHC,2611-I,17037,344,26,1423,1485,100,33
72390345,Roosevelt MHC,5,16131,296,35,1420,1409,100,32
72719729,Riverview Apartments MF,APT20,17037,344,35,1420,1414,100,34
72719018,Kay Bee Mobile Villa MHP,9,16131,296,35,1418,1440,100,146
75367035,Roosevelt MHC,87,16131,296,35,1416,1404,100,25
75372886,Roosevelt MHC,51,16131,296,40,1414,1382,100,145
72719760,Rusk MHC,9,17037,344,41,1411,1363,100,104
75369221,Haven MHP,15,16131,296,40,1408,1431,100,53
70259484,Kingsbrook MHC,690AS,16131,296,35,1407,1341,100,39
75367944,The O in La Marque,8,17037,344,41,1407,1313,100,46
72390253,Virginia Beach,187,17037,344,41,1404,1401,100,48
79458954,Virginia Beach,209,17037,344,35,1403,1388,100,39
79463533,Virginia Beach,75,17037,344,29,1402,1395,100,51
72385659,Virginia Beach,85,17037,344,38,1402,1412,100,147
79467070,Broadway MHP DesMoines,7,17037,344,41,1400,1366,100,44
72385980,Roosevelt MHC,131,16131,296,40,1398,1418,100,124
72392846,Roosevelt MHC,141,16131,296,30,1397,1436,100,25
72382045,Crystal Acres MHC,23,17037,344,47,1395,1473,100,99
72383571,Virginia Beach,41,17037,344,38,1394,1405,100,38
75360188,Kay Lou MHC,2603-I,16131,296,35,1394,1440,100,39
79460547,Kay Lou MHC,2626-I,16131,296,35,1393,1456,100,47
75369056,Grand Valley Estates MHC,33-STONEVALLEY-DR,17037,344,32,1392,1444,100,103
72718549,GenII Water Flow,NEW-5,17037,344,35,1390,1433,100,483
72385089,Rustic Acres MHC,68,16185,314,35,1389,1284,100,76
72382730,Country Squire MHC,46,16185,314,30,1386,1379,100,30
77054056,Oak Forest Estate MHC,14,17037,344,38,1383,1435,100,65
75371185,Grand Valley Estates MHC,22-AMOSVALLEY-DR,17037,344,38,1383,1366,100,66
72719273,Shelby's Trailer Park,LOT05,16131,296,30,1381,1362,100,32
72389024,Kay Lou MHC,2601-M,16131,296,30,1380,1363,100,25
72385428,Backwater MHC,43,17032,344,32,1380,1367,100,20
72718812,Little Acres MHC,5,17037,344,29,1378,1407,100,66
75364339,Big Country Mobile Home & RV Park,3605-C,16130,296,30,1377,1373,100,27
72383795,Carolina Springs MHP,CSP150-1860-BLAKEST,16131,296,30,1376,1357,100,30
77058669,Kingsbrook MHC,736MI,16131,296,25,1374,1396,100,29
70268212,Wildwood Estates MHC,42,17037,344,44,1372,1496,100,213
75364701,Flower Mound MHC,25,17037,344,41,1372,1409,100,36
70266968,Rustic Acres MHC,59,17037,344,26,1370,1380,100,70
75365419,Kay Lou MHC,2607-I,16131,296,50,1369,1330,100,112
72721246,Rusk MHC,42,17037,344,47,1368,1347,100,85
72386129,Westview Mobile Estates MHC,15,17037,344,38,1368,1434,100,40
72719141,Freedom MHP,77,16131,296,40,1367,1349,100,57
