group,serial,id,apt,state,fw,fwti,gain,tiPulse,crash,seen_h,nowater,pipe
103 West Broadway,72718887,45ad5320-d4c8-11f0-b691-d965a62fa4fa,113-4,Failed Cal,17060,368,55,13,0,7.3,false,M ¾
8 OnElaine,72720263,ed003220-c431-11f0-9842-6d029661c338,"2314-1102,1202",Failed Cal,17037,344,26,,45,7.9,false,M 1
Alta Vista MHC-CUST,77061143,13be6920-26b4-11f0-8272-45e3ef110760,28,Failed Cal,17060,368,55,13,0,9.7,false,C ¾
Alta Vista MHC-CUST,65831581,12317560-cf71-11ef-8f43-73c96c0de66f,4,Failed Cal,17060,368,55,13,0,9.4,false,P ¾
Alta Vista MHC-CUST,70263098,9607ac20-62a0-11f0-8658-7f4e94e41769,45,Failed Cal,17060,368,55,6,0,9.4,false,X ¾
Alta Vista MHC-CUST,79456529,1ae91ac0-47f5-11f1-969c-6109d9dfb138,18,Not Metering,16048,272,45,,0,2439.5,true,X ¾
Alta Vista MHC-CUST,65832035,40fb5330-c93f-11ef-8f43-73c96c0de66f,24,Not Metering,16048,0,0,,6,2438.4,false,C ¾
Alta Vista MHC-CUST,79466189,0c76d4f0-47f5-11f1-969c-6109d9dfb138,31,Not Metering,16048,0,0,,0,2342.8,false,X ¾
Alta Vista MHC-CUST,70269749,0170a030-6133-11f0-9fcd-87e94e720126,32,Not Metering,16048,0,0,,0,2460.9,false,P ¾
Arizona Manor,77054429,57792140-26ce-11f0-8272-45e3ef110760,3,Failed Cal,17060,368,55,6,0,7.7,false,X ¾
Aurora MHC,72392556,dcd93400-82e1-11f0-8b4a-0d0197d44616,105,Failed Cal,17060,368,55,6,0,10.7,false,X ¾
Aurora MHC,70266596,90af2940-5c21-11f0-9fcd-87e94e720126,117B,Failed Cal,17060,368,55,13,0,8.6,,X ¾
Aurora MHC,70261761,6f0acba0-5c21-11f0-9fcd-87e94e720126,159,Failed Cal,17060,368,55,13,0,9.5,false,M ½
Aurora MHC,72389412,ff256a60-82e1-11f0-8b4a-0d0197d44616,172,Failed Cal,17060,368,55,13,0,9.6,false,X ½
Aurora MHC,77042093,9b727000-269b-11f0-8272-45e3ef110760,224,Failed Cal,17040,354,55,,0,11.4,false,P ⅜
Aurora MHC,70264302,fdcf84e0-5bb1-11f0-9fcd-87e94e720126,258,Failed Cal,17060,368,55,6,2837,83.8,false,X ¾
Aurora MHC,77057885,15becd00-26b4-11f0-8272-45e3ef110760,33,Failed Cal,17040,354,55,,0,177.0,false,X ½
Aurora MHC,70263353,ab932bf0-5c0b-11f0-9fcd-87e94e720126,108,Not Metering,16048,272,45,,0,2439.4,false,X ¾
Aurora MHC,70263015,0c361cd0-5bb0-11f0-9fcd-87e94e720126,119,Not Metering,16048,272,45,,0,2437.8,false,X ½
Aurora MHC,65823745,29f05660-be5c-11ef-8f43-73c96c0de66f,120-OLD,Not Metering,15114,256,35,,0,3541.8,false,X ½
Aurora MHC,65830450,31587d30-01d5-11f0-92a4-09772dfb61f8,128,Not Metering,16048,272,45,,0,2439.5,false,X ¾
Aurora MHC,70273477,099dbeb0-5bb0-11f0-9fcd-87e94e720126,154,Not Metering,16048,272,45,,0,2439.3,false,X ¾
Aurora MHC,70259120,98e3bbf0-666f-11f0-8658-7f4e94e41769,155-OLD,Not Metering,16131,296,55,,1,4.1,false,X ½
Aurora MHC,72384371,fe7aab70-82e1-11f0-8b4a-0d0197d44616,16,Not Metering,16048,272,45,,0,2438.5,false,X ¾
Aurora MHC,70270895,f598f820-5bb0-11f0-9fcd-87e94e720126,164,Not Metering,16048,272,45,,0,2439.7,false,P ¾
Aurora MHC,72389040,0df68a50-82e8-11f0-8b4a-0d0197d44616,169,Not Metering,362,209,0,,0,3850.0,false,X ¾
Aurora MHC,70264005,046895a0-5bb0-11f0-9fcd-87e94e720126,193,Not Metering,16022,260,35,,0,14.0,false,X ¾
Aurora MHC,72388109,03d006b0-82e2-11f0-8b4a-0d0197d44616,228,Not Metering,16048,272,45,,1,2439.3,false,X ¾
Azulejo,72716964,13ed4600-d7a8-11f0-b691-d965a62fa4fa,1103,Not Metering,15001,0,0,,0,3985.2,false,X ¾
Azulejo,72717582,99e8d100-d79b-11f0-b691-d965a62fa4fa,201,Not Metering,16048,272,45,,0,2438.3,false,L ¾
Backwater MHC,72718044,a351dfc0-d79b-11f0-b691-d965a62fa4fa,25,Calibrating,17040,354,40,,0,298.0,false,P ¾
Backwater MHC,72389479,9f06c220-82e4-11f0-8b4a-0d0197d44616,45,Calibrating,17037,344,40,,0,10.9,false,P ¾
Big Country Mobile Home & RV Park-Cust,72718838,dd0230d0-0c3e-11f1-8768-5551e7a34f27,3600-D,Not Metering,16130,0,0,,20,1332.3,false,X ½
Blue Sky Village MHC,79461628,eab0dcc0-39d6-11f1-b198-172a4a9f25c9,28,Failed Cal,17060,368,55,13,0,8.3,false,X ½
Brian Fries 5YR,72723424,03eff120-01de-11f1-af1d-29d4205d602a,,Failed Cal,17060,368,55,13,0,1.3,false,L ¾
Brighton Court MHP,72380411,d08e2f60-ad30-11f0-98a7-c3bc57f9afe3,11,Failed Cal,17060,368,55,13,0,9.6,true,X ½
Broadway MHP DesMoines,72382516,7b3ed530-9a72-11f0-b5af-5dfa9891b485,1,Failed Cal,17037,344,55,,0,532.6,false,X ½
Broadway MHP DesMoines,72383191,c9e9c100-9328-11f0-ac3b-59f8170a8dd3,18,Failed Cal,17037,344,35,,0,104.2,false,X ½
Broadway MHP DesMoines,75367704,a81c1e20-5483-11f1-b1bb-f3574cce671d,4,Failed Cal,17060,368,55,13,0,9.6,false,X ½
Broadway MHP DesMoines,70262025,65d805a0-a971-11f0-98a7-c3bc57f9afe3,9,Failed Cal,17060,368,55,13,0,8.0,false,X ½
Broadway MHP DesMoines,72379884,a1e1d1a0-9a69-11f0-b5af-5dfa9891b485,HOUSE-NEW,Failed Cal,17060,368,55,13,0,8.0,false, 
Broken Arrow MHP - Cust,75368272,a2b2dc30-4d71-11f1-b1bb-f3574cce671d,6101-198TH-ST,Calibrating,17060,368,40,13,34,9.3,false,P ¾
Broken Arrow MHP - Cust,70269897,dead07a0-5223-11f0-acb1-514e01860b07,6111-197TH-ST,Failed Cal,17060,368,55,13,0,10.0,false,P ¾
Broken Arrow MHP - Cust,79462030,1132d2f0-4d72-11f1-b1bb-f3574cce671d,6111-198TH-ST,Not Metering,16131,296,55,,0,1272.8,false,P ¾
Brown's MHP-CUST,65831466,12094ed0-bda8-11ef-8f43-73c96c0de66f,20,Not Metering,16131,0,0,,2,2017.7,false,L ½
Brown's MHP-CUST,65824255,b0665520-d0b1-11ef-8e78-557cf2ce39c0,26,Not Metering,15019,219,0,,0,3915.4,false,L ½
CJ,75371193,22245b10-0e70-11f1-85e5-65eb60735c3d,106,Not Metering,16048,272,45,,0,2438.0,false,L 1
CJ,75374122,480f4df0-0e6e-11f1-85e5-65eb60735c3d,116,TI Silent,17037,0,0,,0,699.4,false,L 1
Cactus Flower,75361244,934cae80-f653-11f0-b153-63024d3301e1,Laundry,Failed Cal,17037,344,55,,2,329.8,false,L ¾
Cactus Flower,75362028,cf589bc0-f651-11f0-b153-63024d3301e1,4,Not Metering,16131,0,0,,2,1408.0,false,L ¾
Cactus Flower,75362382,cebde260-f651-11f0-b153-63024d3301e1,9 and Laundry,TI Silent,17037,0,0,,0,536.0,false,L ¾
Carolina Springs MHP,72388042,4ca317e0-9fd6-11f0-b5af-5dfa9891b485,1795-GIBSONST-DUPLICATE-OLD,Failed Cal,17060,368,26,6,1,9.9,false,X ¾
Carolina Springs MHP,70272594,26b32e30-9e73-11f0-b5af-5dfa9891b485,CSP 85 (1724-GILMOREST)-OLD,Not Metering,363,219,0,,0,3892.8,false,X ¾
Carolina Springs MHP,70272529,242ca930-9e59-11f0-b5af-5dfa9891b485,CSP106-390-RIDGELINECT-OLD,Not Metering,16048,272,45,,0,2438.0,false,X ¾
Carolina Springs MHP,72383183,36a1d490-9a72-11f0-b5af-5dfa9891b485,CSP116-395-BAINBRIDGECT-OLD,Not Metering,16048,272,45,,3,2438.1,false,X ¾
Carolina Springs MHP,72388679,832d2970-9a33-11f0-b5af-5dfa9891b485,CSP119-398-RIVERBASINCT-PLACEHOLDER,Not Metering,16048,272,45,,15,2437.8,false,X ¾
Carolina Springs MHP,70262330,84e65c50-9e7f-11f0-b5af-5dfa9891b485,CSP32-1709-GIBSONST-OLD,Not Metering,16048,272,45,,0,2439.3,false,X ¾
Carolina Springs MHP,70262140,4e549790-9e59-11f0-b5af-5dfa9891b485,CSP41-1737-GIBSONST-OLD,Not Metering,16048,272,45,,0,2437.9,false,X ¾
