Action,Lot,Device,State,DaysDark,LastRadioContact,FW_now,gen2fw_pin,SyncState,TI_now,allowTiFotaVer,Carrier,RSRP_final30_dBm,VddAdc_mV,Gen,CadenceVerdict,Silence_h,Bound_h,Silence_x_bound,Basis
Check on site - no parts,9,75360303,online,0,2026-08-31,17037,,in sync,344,344,Verizon,-114.0,3647,GEN2,in bound,2.0,51.4,0.04,high ToF rejection - acoustic/coupling
Check on site - no parts,18,70271380,online,0,2026-08-31,17040,,in sync,354,354,T-Mobile,-112.0,3491,GEN2,in bound,1.4,51.4,0.03,failed calibration flag
No action - marginal signal but working,2,70265796,online,0,2026-08-31,16022,,in sync,260,260,Verizon,-120.0,3647,GEN2,in bound,5.2,51.4,0.1,"RSRP -120.0 dBm but metering, attaching 28/28, battery 3647mV"
No action - marginal signal but working,135,65825286,online,0,2026-08-31,17037,,in sync,344,344,T-Mobile,-125.5,3640,GEN2,in bound,3.8,51.4,0.07,"RSRP -125.5 dBm but metering, attaching 14/28, battery 3640mV"
No action - marginal signal but working,148,70265135,online,0,2026-08-31,17037,,in sync,344,344,AT&T,-124.0,3607,GEN2,in bound,3.1,51.4,0.06,"RSRP -124.0 dBm but metering, attaching 26/28, battery 3607mV"
No action - marginal signal but working,101,70266489,online,0,2026-08-31,17037,,in sync,344,344,Verizon,-123.0,3640,GEN2,in bound,3.7,51.4,0.07,"RSRP -123.0 dBm but metering, attaching 28/28, battery 3640mV"
No action - marginal signal but working,68,70267735,online,0,2026-08-31,17037,,in sync,344,344,T-Mobile,-122.0,3649,GEN2,in bound,3.4,51.4,0.07,"RSRP -122.0 dBm but metering, attaching 27/28, battery 3649mV"
No action - marginal signal but working,85,72382094,online,0,2026-08-31,17037,,in sync,344,344,T-Mobile,-122.0,3643,GEN2,in bound,2.2,51.4,0.04,"RSRP -122.0 dBm but metering, attaching 26/28, battery 3643mV"
No action - marginal signal but working,63,72381419,online,0,2026-08-31,17037,,in sync,344,344,Verizon,-121.0,3638,GEN2,in bound,2.0,51.4,0.04,"RSRP -121.0 dBm but metering, attaching 25/28, battery 3638mV"
No action - marginal signal but working,88,70261142,online,0,2026-08-31,17037,,in sync,344,344,T-Mobile,-120.0,3495,GEN2,in bound,3.1,51.4,0.06,"RSRP -120.0 dBm but metering, attaching 25/28, battery 3495mV"
No action - marginal signal but working,50,70267925,online,0,2026-08-31,16185,,in sync,314,314,Verizon,-123.0,3641,GEN2,in bound,1.5,51.4,0.03,"RSRP -123.0 dBm but metering, attaching 27/28, battery 3641mV"
No action - marginal signal but working,104,70259054,online,0,2026-08-31,17037,,in sync,344,344,T-Mobile,-120.5,3623,GEN2,in bound,1.0,51.4,0.02,"RSRP -120.5 dBm but metering, attaching 22/28, battery 3623mV"
