category,serial,group,apt,start,now,state,passwd_err,config_err,lastFailed,hard_resets,Vdd,bucket,note,verdict
"C transient TI-FOTA error, took 391",79466452,Shady Lane MHP,144 Shady Lane - Test,17060/368,17078/391,Metering,1,0,,0,3637,,,pass
"C transient TI-FOTA error, took 391",79461768,Shady Lane MHP,21 Maple Lane,17060/368,17078/391,Metering,1,0,,0,3638,,,pass
"C transient TI-FOTA error, took 391",75364586,Shady Lane MHP,103 Shady Lane,17060/368,17078/391,Metering,1,0,,0,3638,,,pass
"C transient TI-FOTA error, took 391",75366938,Shady Lane MHP-Cust,29 Maple Lane,17037/344,17078/391,Metering,1,0,,0,3644,,,pass
"C transient TI-FOTA error, took 391",70261480,Sunview MHP,15,17060/368,17078/391,Calibrating,1,0,,7,3603,,,pass
"C transient TI-FOTA error, took 391",75367589,Virginia Beach HOA - Cust,113,17037/344,17078/391,Metering,1,0,,0,3657,,,pass
"C transient TI-FOTA error, took 391",70262447,Whispering Pines Mobile Estates,317,17060/368,17078/391,Calibrating,6,0,391,4,3617,,,pass
D TI flag then OK,75368587,Highlands MHC,9,17060/368,17078/391,Metering,0,3,391,0,3630,,,flagged
D TI flag then OK,72389347,Virginia Beach HOA - Cust,117,17060/0,17078/391,Metering,3,3,391,0,3578,recovered,"pre-dead TI (crash 418, self-heal loop for weeks); 17078 revived it 22:40, bounced Metering/TI Silent 12x until 01:14, then stable Metering gain 32 on 391 with records streaming; Bruce 9/12 09:15: recovered",flagged
E pre-dead TI revived,72383795,Carolina Springs MHP-CUST,CSP150-1860-BLAKEST,16131/0,17078/391,Metering,0,0,,0,3589,upload struggle,"fringe site, manual pass (Bruce 9/12 08:47), recordNoneventFlow=false, checkInPeriod deleted",pass
E pre-dead TI revived,65831011,Parkway MHC-Cust,38,16022/0,17078/391,Metering,0,0,,0,3628,,,pass
E pre-dead TI revived,75362945,Pleasant Acres,44,17037/0,17078/391,Metering,0,0,,0,3610,recovered,"pre-dead TI on 17037 for weeks; landed 17078/391 11:23, TI revived, Metering gain 28 (one heal reboot 11:28). RECOVERED.",pass
E pre-dead TI revived,72382805,Virginia Beach HOA - Cust,39,17060/0,17078/391,Metering,0,0,,0,3624,,,pass
