device_serial,tb_device_id,property_group,apartment,state_now,metering_duty_since_landing_pct,hours_since_landing,verdict,failure_mode,tiWdReset,gain,upamp,tnormStddev,gal_7d,rsrp,root_cause,recommended_action
72723432,626d0930-f186-11f0-8900-8bd481ce9a44,Johnson's Trailer Park,14,Metering,36,59,FAILURE,OTHER,0,52.0,321.0,585.0,252,-100,metering 23-76% of the time since landing; gate-loop survivor / post-cal churn,"watch 48 h, recalibrate if duty stays <80%"
75369502,cdee3650-f651-11f0-b153-63024d3301e1,Pace East,11,Metering,34,76,FAILURE,OTHER,0,48.0,269.0,471.0,92,-94,metering 23-76% of the time since landing; gate-loop survivor / post-cal churn,"watch 48 h, recalibrate if duty stays <80%"
65824917,704a9de0-25d7-11f0-8272-45e3ef110760,Shady Lane MHP-Cust,40 Maple Lane APT #0,Metering,59,56,FAILURE,OTHER,0,23.0,1320.0,25.0,62,-100,metering 23-76% of the time since landing; gate-loop survivor / post-cal churn,"watch 48 h, recalibrate if duty stays <80%"
75369098,e9bd4b10-545b-11f1-b1bb-f3574cce671d,Shady Lane MHP-Cust,5013 Spruce Lane,Metering,58,58,FAILURE,OTHER,1,38.0,1967.0,321.0,519,-117,metering 23-76% of the time since landing; gate-loop survivor / post-cal churn,"watch 48 h, recalibrate if duty stays <80%"
77058057,15d78520-26b4-11f0-8272-45e3ef110760,The Oaks MHC,30,Metering,74,12,FAILURE,OTHER,0,43.0,284.0,949.0,566,-111,metering 23-76% of the time since landing; gate-loop survivor / post-cal churn,"watch 48 h, recalibrate if duty stays <80%"
72390030,ad379e60-9a2b-11f0-b5af-5dfa9891b485,Virginia Beach HOA - Cust,159,Metering,28,83,FAILURE,OTHER,0,32.0,830.0,174.0,-1,-110,metering 23-76% of the time since landing; gate-loop survivor / post-cal churn,"watch 48 h, recalibrate if duty stays <80%"
72382805,e59043f0-98f2-11f0-b5af-5dfa9891b485,Virginia Beach HOA - Cust,39,Metering,68,80,FAILURE,OTHER,0,48.0,858.0,203.0,53,-104,metering 23-76% of the time since landing; gate-loop survivor / post-cal churn,"watch 48 h, recalibrate if duty stays <80%"
70266141,5e8e2d60-a971-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,39,Calibrating,0,9,FAILURE,RECAL-ACTIVE (<48 h),0,32.0,379.0,60.0,1,-105,"landed <48 h, cal in progress",wait one cycle
79457204,7c82bdb0-89f2-11f1-a1a6-391af391818e,Lake of the Pines Community Association - Cust,107-KMB,Calibrating,0,32,FAILURE,RECAL-ACTIVE (<48 h),0,40.0,156.0,0.0,427,-112,"landed <48 h, cal in progress",wait one cycle
65825385,247f6cd0-26a7-11f0-8272-45e3ef110760,Aurora MHC,149-OLD,Calibrating,8,86,FAILURE,"CALIBRATING (>48 h, no loop)",0,40.0,0.0,0.0,896,-119,"Calibrating for days, cal values changing, no watchdog",bench root cause
