device_serial,tb_device_id,property_group,apartment,state_now,was_metering_before_17088,hours_since_17088_landed,failure_mode,root_cause,evidence,recommended_action,fwVerTi,rsrp,VddAdc,noWater_attr
72390030,ad379e60-9a2b-11f0-b5af-5dfa9891b485,Virginia Beach HOA - Cust,159,Metering,yes,80,OTHER,Metering now but only 23-76% of the time since landing; gate-loop survivors and post-crossing cal churn,gain=32; amp=830; tnormSd=174; meteringDuty=28%; gal7d=-1,Watch 48 h; escalate to recalibrate if duty does not reach 80%,391,-110,3595,false
72382805,e59043f0-98f2-11f0-b5af-5dfa9891b485,Virginia Beach HOA - Cust,39,Metering,yes,77,OTHER,Metering now but only 23-76% of the time since landing; gate-loop survivors and post-crossing cal churn,gain=48; amp=858; tnormSd=203; meteringDuty=68%; gal7d=53,Watch 48 h; escalate to recalibrate if duty does not reach 80%,391,-104,3629,false
70266141,5e8e2d60-a971-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,39,Calibrating,yes,6,RECAL-ACTIVE (<48 h),Landed under 48 h ago; calibration in progress with values moving,gain=32; amp=379; tnormSd=60; meteringDuty=0%; gal7d=1,Wait one more cycle,391,-105,3646,false
79457204,7c82bdb0-89f2-11f1-a1a6-391af391818e,Lake of the Pines Community Association - Cust,107-KMB,Calibrating,yes,29,RECAL-ACTIVE (<48 h),Landed under 48 h ago; calibration in progress with values moving,gain=40; amp=156; meteringDuty=0%; gal7d=427,Wait one more cycle,391,-112,3656,false
65825385,247f6cd0-26a7-11f0-8272-45e3ef110760,Aurora MHC,149-OLD,Calibrating,yes,83,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=0; meteringDuty=8%; gal7d=896,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-119,3560,false
75370591,2b1c9d30-6c13-11f1-9333-3b2cfe68422f,(no group),22-DOUBLETREE-CT,Calibrating,no,52,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=82; gain=40; amp=0; gal7d=0,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-102,3646,true
79467617,f27316b0-8ad2-11f1-a1a6-391af391818e,Aurora MHC,155,Calibrating,no,77,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=137; gain=40; amp=105; gal7d=113,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-97,3661,false
75368405,14d2b740-4cc8-11f1-b1bb-f3574cce671d,Haven MHP,3,Calibrating,no,54,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=84; gain=40; amp=43; gal7d=6,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-93,3669,false
70269251,8a11ff10-62a0-11f0-8658-7f4e94e41769,Kachina,6,Calibrating,no,74,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=40; gain=28; amp=271; gal7d=0,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-98,3628,false
72386996,5154af00-ad3d-11f0-98a7-c3bc57f9afe3,Lake Road Village RV Park-Cust,5,Calibrating,no,60,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=149; gain=40; amp=0; gal7d=9,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-104,3640,false
72390634,ad86de10-98f2-11f0-b5af-5dfa9891b485,Mena Estates MHC,139BONNER,Calibrating,no,53,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=95; gain=40; amp=0; gal7d=717,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-97,3642,false
70261639,68837010-6695-11f0-8658-7f4e94e41769,Whispering Pines Mobile Estates-CUST,107,Calibrating,no,58,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=122; gain=40; amp=0; gal7d=25,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-101,3635,false
70268956,58afcf60-9fd6-11f0-b5af-5dfa9891b485,Whispering Pines Mobile Estates-CUST,217,Calibrating,no,54,GATE-LOOP,"ST 17086-17090 watchdog reset leaves the TI parked at its cal gate; reset every 20 min, aggregates frozen, TI at boot values (gain 40 / env 30 / amp 0)",wdResets=53; gain=40; amp=114; gal7d=22,Pin gen2fw 17091 once the bench pair is 24 h clean; no other remote lever clears it,391,-101,3635,false
72720263,ed003220-c431-11f0-9842-6d029661c338,8 OnElaine,"2314-1102,1202",Failed Cal,no,73,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=409; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-97,3603,false
72389412,ff256a60-82e1-11f0-8b4a-0d0197d44616,Aurora MHC,172,Failed Cal,no,81,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=596; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-106,3633,false
70269897,dead07a0-5223-11f0-acb1-514e01860b07,Broken Arrow MHP - Cust,6111-197TH-ST,Failed Cal,no,55,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=186; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-111,3657,false
70265689,d106c850-9e6a-11f0-b5af-5dfa9891b485,Carolina Springs MHP-CUST,CSP160-1888-BLAKEST,Failed Cal,no,7,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=363; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-107,3626,false
70267115,287c9c60-6674-11f0-8658-7f4e94e41769,Estancia MHP-CUST,159,Failed Cal,no,54,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=355; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-112,3644,false
72724307,f6324990-06a4-11f1-a3d9-c99c67c82bc1,Estancia MHP-CUST,4,Failed Cal,no,28,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=300; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-99,3650,false
72715123,df3550e0-c426-11f0-9842-6d029661c338,Freedom MHP,8,Failed Cal,no,54,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=529; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-77,3630,false
65825500,2e931240-e984-11ef-b35e-23eef2ba43da,Green Grove Trailer Court MHC,15,Failed Cal,no,58,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=52; amp=435; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-96,3661,false
72721865,a4c32760-c431-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,14,Failed Cal,no,74,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=52; amp=201; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-105,3651,false
72380866,627f6590-84a2-11f0-8b4a-0d0197d44616,Lafountaine MHC,125CC,Failed Cal,no,52,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=453; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-101,3634,false
70266901,d4013360-62b0-11f0-8658-7f4e94e41769,Maple Run MHC-CUST,11,Failed Cal,no,53,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=52; amp=378; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-118,3606,false
75365096,676f5960-4d02-11f1-b1bb-f3574cce671d,Pace East,54,Failed Cal,no,73,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=52; amp=337; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-103,3671,false
70270440,283aff90-c4e7-11f0-9842-6d029661c338,Parker MHC-CUST,11,Failed Cal,no,54,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=52; amp=467; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-87,3648,false
70259468,b48c4c80-666c-11f0-8658-7f4e94e41769,Parkview MHP-Cust,47,Failed Cal,no,51,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=241; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-93,3642,false
72385337,0942fa90-842b-11f0-8b4a-0d0197d44616,Ponderosa MHC,3,Failed Cal,no,52,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=231; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-117,3628,false
72392853,3ae18440-8430-11f0-8b4a-0d0197d44616,Ponderosa MHC,3-2,Failed Cal,no,54,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=264; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-107,3620,false
70263882,56aaa610-8436-11f0-8b4a-0d0197d44616,Ponderosa MHC,51,Failed Cal,no,27,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=388; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-120,3636,false
72720677,8fea2ac0-c7bd-11f0-9842-6d029661c338,Riverview Apartments MF,34,Failed Cal,no,55,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=219; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-71,3641,false
79467906,6e61b720-86bb-11f1-a1a6-391af391818e,Smitty's MHP,85,Failed Cal,no,30,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=52; amp=509; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-99,3667,false
72384520,23da5070-82ef-11f0-8b4a-0d0197d44616,Stafford MHC-CUST,227,Failed Cal,no,55,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=310; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-124,3635,false
72390147,bf4a1e00-8385-11f0-8b4a-0d0197d44616,Stafford MHC-CUST,259,Failed Cal,no,52,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,wdResets=75; gain=52; amp=253; gal7d=11,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-108,3627,false
72392259,bb4ad8f0-82ed-11f0-8b4a-0d0197d44616,Stafford MHC-CUST,365,Failed Cal,no,52,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=459; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-104,3634,false
72717459,af56e230-c42b-11f0-9842-6d029661c338,Stafford MHC-CUST,385,Failed Cal,no,53,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=242; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-99,3624,false
72378928,6b2c0830-9e77-11f0-b5af-5dfa9891b485,Whispering Pines Mobile Estates-CUST,703,Failed Cal,no,53,CAL-FAIL (signal present),Failed Cal with an echo present (amp 370-1030) at max gain 52-55; v391 cal does not converge on this pipe/coupling,gain=55; amp=334; gal7d=0,"Bench: pull cal telemetry, check pipe type/size attrs vs install; field: re-seat transducer / check coupling",391,-89,3624,false
72715768,5f603fd0-c50f-11f0-9842-6d029661c338,(no group),105-DOWNINTHEWALL,Calibrating,no,27,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=28; amp=57; gal7d=0,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-112,3637,false
79462147,45a6ed70-4d0c-11f1-b1bb-f3574cce671d,(no group),12-SHENNADOH-DR,Calibrating,no,52,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=25; gal7d=0,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-93,3660,false
72718119,a11dba70-c4ff-11f0-9842-6d029661c338,(no group),727103,Calibrating,no,27,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=47; gal7d=0,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-87,3647,false
72718887,45ad5320-d4c8-11f0-b691-d965a62fa4fa,103 West Broadway,113-4,Calibrating,no,75,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=31; gal7d=0,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-87,3668,false
77061143,13be6920-26b4-11f0-8272-45e3ef110760,Alta Vista MHC-CUST,28,Calibrating,no,4,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=74; gal7d=0,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-111,3638,false
70263098,9607ac20-62a0-11f0-8658-7f4e94e41769,Alta Vista MHC-CUST,45,Calibrating,no,52,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=32; gal7d=0,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-109,3655,false
70259120,98e3bbf0-666f-11f0-8658-7f4e94e41769,Aurora MHC,155-OLD,Calibrating,no,80,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=119; gal7d=0,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-119,3653,false
70264005,046895a0-5bb0-11f0-9fcd-87e94e720126,Aurora MHC,193,Calibrating,no,79,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=78; gal7d=-1,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-87,3560,false
77042093,9b727000-269b-11f0-8272-45e3ef110760,Aurora MHC,224,Calibrating,no,78,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=55; amp=548; gal7d=-1,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-103,3507,false
79461628,eab0dcc0-39d6-11f1-b198-172a4a9f25c9,Blue Sky Village MHC,28,Calibrating,no,52,"CALIBRATING (>48 h, no loop)","Calibrating for days with cal values changing, no watchdog resets, register flat: v391 surface walk never commits on this unit; pre-existing before 17088",gain=40; amp=28; gal7d=0,Bench root cause on a sample of 10 (cal telemetry); candidates for the calMinBlank / pipe-fit review,391,-94,3666,false
