Action,Lot,Device,State,DaysDark,LastRadioContact,FW_now,gen2fw_pin,SyncState,TI_now,allowTiFotaVer,Carrier,RSRP_final30_dBm,VddAdc_mV,Gen,CadenceVerdict,Silence_h,Bound_h,Silence_x_bound,Reg45d_gal,RegFrozen_days,rejPct_med,failedCal,Billable,Basis
SITE ACCESS - install not done,40-MISSINGMETER,Device 65827910,DARK,280.33,2025-11-24 10:26,10295,,NO_PIN,159,,AT&T,-109.0,3570.5,GEN1,DARK,6727.81,240.0,28.03,,,,,False,"GEN1, dark 280d. Install note 4/18/26: ""Missing meter due to new trailer; Gray poly needs upgraded to PEX; Local contact will install"". Billable=False, Replace=True set. MeteringState=True is a stale flag."
SITE ACCESS - no trailer,42-EMPTYLOT,Device 72388216,DARK,293.33,2025-11-11 10:14,10287,16185,PENDING,159,314,Verizon,-115.0,3563.0,GEN1,DARK,7040.01,240.0,29.33,,,,,False,"GEN1, dark 293d. Install note 4/18/26: ""No trailer; Previously occupied lot"". Billable=False, Replace=True set. Likely no visit needed unless the lot is now occupied."
SITE ACCESS - no access,51-SIDINGOVERSKIRTING,Device 70259799,DARK,>300,,10270,16185,PENDING,149,314,Verizon,,,GEN1,DARK,,240.0,,,,,,False,"GEN1, no radio telemetry in the full 300d window. Install note 4/19/26: ""No access due to type of siding over skirting"". Billable=False, Replace=True set. Needs an access plan before a meter is worth sending."
NO VISIT - billing review,1,Device 79465835,ONLINE,0.13,2026-08-31 15:10,17040,17040,IN_SYNC,354,354,Verizon,-127.0,3653,GEN2,OK,3.07,51.18,0.06,24637.141,0.1,93.0,0.0,True,"BILLING REVIEW - real leak 07-20 to 08-25 (peak ~2,900 gal/day), stopped 08-25 16:04, now back to ~120 gal/day. Meter is HEALTHY (rejPct fell 94% -> 0-3% when the leak stopped). But rejPct ran 91-97% during the leak, so the volume recorded in that window is uncertain and most likely UNDERSTATED. No truck needed."
NO VISIT - billing review,48,Device 72384793,ONLINE,0.19,2026-08-31 13:46,17040,17040,IN_SYNC,354,354,AT&T,-117.0,3622,GEN2,OK,4.48,51.18,0.09,4519.961,0.2,0.0,0.0,False,"BILLING FLAG - Billable=False but the register moved 4,520 gal in 45d with MeteringState=True. Verify whether this door should be billed. No truck needed."
NO ACTION,10,Device 72378571,ONLINE,0.14,2026-08-31 14:59,17037,17037,IN_SYNC,344,344,Verizon,-112.0,3641,GEN2,OK,3.26,51.18,0.06,918.182,0.1,0.0,1.0,True,"Metering and attaching normally: register +918.182 gal/45d, silence 3.3 h = 0.06x bound, battery 3641 mV, RSRP -112.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,11,Device 70263460,ONLINE,0.13,2026-08-31 15:03,17037,17037,IN_SYNC,344,344,AT&T,-111.0,3652,GEN2,OK,3.19,51.18,0.06,11821.203,0.1,0.0,0.0,True,"Metering and attaching normally: register +11821.203 gal/45d, silence 3.2 h = 0.06x bound, battery 3652 mV, RSRP -111.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,15,Device 75363281,ONLINE,0.04,2026-08-31 17:14,17037,17037,IN_SYNC,344,344,T-Mobile,-117.0,3664,GEN2,OK,1.0,51.18,0.02,321.076,0.0,0.0,0.0,True,"Metering and attaching normally: register +321.076 gal/45d, silence 1.0 h = 0.02x bound, battery 3664 mV, RSRP -117.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,16,Device 70269434,ONLINE,0.17,2026-08-31 14:12,17037,17037,IN_SYNC,344,344,Verizon,-108.0,3645,GEN2,OK,4.03,51.18,0.08,9654.914,0.2,0.0,0.0,True,"Metering and attaching normally: register +9654.914 gal/45d, silence 4.0 h = 0.08x bound, battery 3645 mV, RSRP -108.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,17,Device 70272610,ONLINE,0.1,2026-08-31 15:50,17037,17037,IN_SYNC,344,344,AT&T,-110.0,3647,GEN2,OK,2.41,51.18,0.05,84.25,0.1,0.0,1.0,True,"Metering and attaching normally: register +84.25 gal/45d, silence 2.4 h = 0.05x bound, battery 3647 mV, RSRP -110.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,18,Device 79462857,ONLINE,0.12,2026-08-31 15:25,17037,17037,IN_SYNC,344,344,Verizon,-119.0,3663,GEN2,OK,2.82,51.18,0.06,3516.66,0.1,0.0,0.0,True,"Metering and attaching normally: register +3516.66 gal/45d, silence 2.8 h = 0.06x bound, battery 3663 mV, RSRP -119.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,23,Device 70259880,ONLINE,0.08,2026-08-31 16:24,16185,16185,IN_SYNC,314,314,AT&T,-124.0,3636,GEN2,OK,1.84,51.18,0.04,2947.157,0.1,,0.0,True,"Metering and attaching normally: register +2947.157 gal/45d, silence 1.8 h = 0.04x bound, battery 3636 mV, RSRP -124.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,26,Device 70269996,ONLINE,0.08,2026-08-31 16:12,16185,16185,IN_SYNC,314,314,AT&T,-110.0,3640,GEN2,OK,2.03,51.18,0.04,1061.736,0.1,,0.0,True,"Metering and attaching normally: register +1061.736 gal/45d, silence 2.0 h = 0.04x bound, battery 3640 mV, RSRP -110.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,27,Device 70265069,ONLINE,0.16,2026-08-31 14:22,17037,17037,IN_SYNC,344,344,AT&T,-119.0,3631,GEN2,OK,3.87,51.18,0.08,744.881,0.2,0.0,0.0,True,"Metering and attaching normally: register +744.881 gal/45d, silence 3.9 h = 0.08x bound, battery 3631 mV, RSRP -119.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,3,Device 72381401,ONLINE,0.13,2026-08-31 15:08,16185,16185,IN_SYNC,314,314,AT&T,-110.0,3646,GEN2,OK,3.1,51.18,0.06,2640.996,0.1,,0.0,True,"Metering and attaching normally: register +2640.996 gal/45d, silence 3.1 h = 0.06x bound, battery 3646 mV, RSRP -110.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,31,Device 70269178,ONLINE,0.08,2026-08-31 16:13,17037,17037,IN_SYNC,344,344,Verizon,-119.0,3635,GEN2,OK,2.02,51.18,0.04,2341.863,0.1,0.0,1.0,True,"Metering and attaching normally: register +2341.863 gal/45d, silence 2.0 h = 0.04x bound, battery 3635 mV, RSRP -119.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,32,Device 72384959,ONLINE,0.1,2026-08-31 15:53,17037,17037,IN_SYNC,344,344,T-Mobile,-124.0,3617,GEN2,OK,2.36,51.18,0.05,2234.777,0.1,0.0,0.0,True,"Metering and attaching normally: register +2234.777 gal/45d, silence 2.4 h = 0.05x bound, battery 3617 mV, RSRP -124.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,33,Device 72379249,ONLINE,0.1,2026-08-31 15:56,16185,16185,IN_SYNC,314,314,Verizon,-112.0,3644,GEN2,OK,2.3,51.18,0.04,2004.942,0.1,,0.0,True,"Metering and attaching normally: register +2004.942 gal/45d, silence 2.3 h = 0.04x bound, battery 3644 mV, RSRP -112.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,35,Device 79461313,ONLINE,0.07,2026-08-31 16:30,17037,17037,IN_SYNC,344,344,T-Mobile,-122.0,3661,GEN2,OK,1.74,51.18,0.03,1420.447,0.1,0.0,0.0,True,"Metering and attaching normally: register +1420.447 gal/45d, silence 1.7 h = 0.03x bound, battery 3661 mV, RSRP -122.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,38,Device 79462121,ONLINE,0.16,2026-08-31 14:24,17037,17037,IN_SYNC,344,344,Verizon,-119.0,3665,GEN2,OK,3.84,51.18,0.08,3553.543,0.2,7.0,0.0,True,"Metering and attaching normally: register +3553.543 gal/45d, silence 3.8 h = 0.08x bound, battery 3665 mV, RSRP -119.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,39,Device 72381914,ONLINE,0.14,2026-08-31 14:55,17037,17037,IN_SYNC,344,344,Verizon,-115.0,3643,GEN2,OK,3.32,51.18,0.06,497.201,0.1,0.0,0.0,True,"Metering and attaching normally: register +497.201 gal/45d, silence 3.3 h = 0.06x bound, battery 3643 mV, RSRP -115.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,4,Device 79460562,ONLINE,0.18,2026-08-31 13:55,17037,17037,IN_SYNC,344,344,Verizon,-122.0,3657,GEN2,OK,4.33,51.18,0.08,22.39,0.2,7.0,0.0,True,"Metering and attaching normally: register +22.39 gal/45d, silence 4.3 h = 0.08x bound, battery 3657 mV, RSRP -122.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,41,Device 79454458,ONLINE,0.07,2026-08-31 16:33,17037,17037,IN_SYNC,344,344,T-Mobile,-124.0,3665,GEN2,OK,1.68,51.18,0.03,923.092,0.1,0.0,0.0,True,"Metering and attaching normally: register +923.092 gal/45d, silence 1.7 h = 0.03x bound, battery 3665 mV, RSRP -124.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,44,Device 70268923,ONLINE,0.13,2026-08-31 15:00,16185,16185,IN_SYNC,314,314,Verizon,-117.0,3648,GEN2,OK,3.23,51.18,0.06,4403.711,0.1,,0.0,True,"Metering and attaching normally: register +4403.711 gal/45d, silence 3.2 h = 0.06x bound, battery 3648 mV, RSRP -117.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,46,Device 70262371,ONLINE,0.12,2026-08-31 15:24,16185,16185,IN_SYNC,314,314,AT&T,-114.0,3646,GEN2,OK,2.84,51.18,0.06,1749.861,0.1,,0.0,True,"Metering and attaching normally: register +1749.861 gal/45d, silence 2.8 h = 0.06x bound, battery 3646 mV, RSRP -114.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,49,Device 70262272,ONLINE,0.12,2026-08-31 15:26,17037,17037,IN_SYNC,344,344,Verizon,-111.0,3643,GEN2,OK,2.8,51.18,0.05,23752.648,0.1,4.0,0.0,True,"Metering and attaching normally: register +23752.648 gal/45d, silence 2.8 h = 0.05x bound, battery 3643 mV, RSRP -111.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,5,Device 79460257,ONLINE,0.1,2026-08-31 15:43,17037,17037,IN_SYNC,344,344,T-Mobile,-124.0,3652,GEN2,OK,2.52,51.18,0.05,1694.36,0.1,0.0,1.0,True,"Metering and attaching normally: register +1694.36 gal/45d, silence 2.5 h = 0.05x bound, battery 3652 mV, RSRP -124.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,50,Device 72382011,ONLINE,0.1,2026-08-31 15:53,17037,17037,IN_SYNC,344,344,AT&T,-116.0,3647,GEN2,OK,2.36,51.18,0.05,1982.797,0.1,0.0,0.0,True,"Metering and attaching normally: register +1982.797 gal/45d, silence 2.4 h = 0.05x bound, battery 3647 mV, RSRP -116.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,52,Device 72391319,ONLINE,0.3,2026-08-31 11:04,16131,16131,IN_SYNC,296,296,unknown,-115.0,3642,GEN2,OK,7.16,51.18,0.14,2440.029,0.3,,0.0,True,"Metering and attaching normally: register +2440.029 gal/45d, silence 7.2 h = 0.14x bound, battery 3642 mV, RSRP -115.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,53,Device 79464150,ONLINE,0.19,2026-08-31 13:36,16185,16185,IN_SYNC,314,314,AT&T,-109.0,3668,GEN2,OK,4.63,51.18,0.09,918.982,0.2,,0.0,True,"Metering and attaching normally: register +918.982 gal/45d, silence 4.6 h = 0.09x bound, battery 3668 mV, RSRP -109.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,54,Device 72381559,ONLINE,0.13,2026-08-31 15:07,16185,16185,IN_SYNC,314,314,Verizon,-117.0,3650,GEN2,OK,3.13,51.18,0.06,3829.309,3.1,,0.0,True,"Metering and attaching normally: register +3829.309 gal/45d, silence 3.1 h = 0.06x bound, battery 3650 mV, RSRP -117.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,57,Device 72381120,ONLINE,0.18,2026-08-31 13:59,16185,16185,IN_SYNC,314,314,Verizon,-114.0,3643,GEN2,OK,4.25,51.18,0.08,1690.311,0.2,,0.0,True,"Metering and attaching normally: register +1690.311 gal/45d, silence 4.2 h = 0.08x bound, battery 3643 mV, RSRP -114.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,59,Device 70266968,ONLINE,0.2,2026-08-31 13:33,17037,17037,IN_SYNC,344,344,T-Mobile,-128.0,3649,GEN2,OK,4.69,51.18,0.09,3093.509,0.2,0.0,0.0,True,"Metering and attaching normally: register +3093.509 gal/45d, silence 4.7 h = 0.09x bound, battery 3649 mV, RSRP -128.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,6,Device 79460497,ONLINE,0.19,2026-08-31 13:39,17037,17037,IN_SYNC,344,344,T-Mobile,-119.0,3665,GEN2,OK,4.58,51.18,0.09,826.336,0.2,1.0,1.0,True,"Metering and attaching normally: register +826.336 gal/45d, silence 4.6 h = 0.09x bound, battery 3665 mV, RSRP -119.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,60,Device 72381245,ONLINE,0.14,2026-08-31 14:58,16185,16185,IN_SYNC,314,314,AT&T,-108.0,3652,GEN2,OK,3.27,51.18,0.06,310.059,0.1,,1.0,True,"Metering and attaching normally: register +310.059 gal/45d, silence 3.3 h = 0.06x bound, battery 3652 mV, RSRP -108.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,62,Device 70272560,ONLINE,0.12,2026-08-31 15:26,17037,17037,IN_SYNC,344,344,Verizon,-116.0,3635,GEN2,OK,2.81,51.18,0.05,4946.953,0.1,2.0,0.0,True,"Metering and attaching normally: register +4946.953 gal/45d, silence 2.8 h = 0.05x bound, battery 3635 mV, RSRP -116.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,64,Device 72381385,ONLINE,0.14,2026-08-31 14:54,16185,16185,IN_SYNC,314,314,AT&T,-114.0,3648,GEN2,OK,3.33,51.18,0.07,3103.054,0.1,,0.0,True,"Metering and attaching normally: register +3103.054 gal/45d, silence 3.3 h = 0.07x bound, battery 3648 mV, RSRP -114.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,65,Device 72382037,ONLINE,0.09,2026-08-31 16:07,16185,16185,IN_SYNC,314,314,Verizon,-123.0,3646,GEN2,OK,2.12,51.18,0.04,3371.25,0.1,,0.0,True,"Metering and attaching normally: register +3371.25 gal/45d, silence 2.1 h = 0.04x bound, battery 3646 mV, RSRP -123.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,66,Device 70266471,ONLINE,0.09,2026-08-31 16:11,17037,17037,IN_SYNC,344,344,Verizon,-121.0,3636,GEN2,OK,2.05,51.18,0.04,1.764,1.1,0.0,1.0,True,"Metering and attaching normally: register +1.764 gal/45d, silence 2.0 h = 0.04x bound, battery 3636 mV, RSRP -121.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,67,Device 79461644,ONLINE,0.17,2026-08-31 14:14,17037,17037,IN_SYNC,344,344,AT&T,-110.0,3664,GEN2,OK,4.01,51.18,0.08,202.246,0.2,0.0,0.0,True,"Metering and attaching normally: register +202.246 gal/45d, silence 4.0 h = 0.08x bound, battery 3664 mV, RSRP -110.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,68,Device 72385089,ONLINE,0.12,2026-08-31 15:23,16185,16185,IN_SYNC,314,314,AT&T,-109.0,3618,GEN2,OK,2.85,51.18,0.06,5412.3,0.1,,0.0,True,"Metering and attaching normally: register +5412.3 gal/45d, silence 2.9 h = 0.06x bound, battery 3618 mV, RSRP -109.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,69,Device 79466296,ONLINE,0.12,2026-08-31 15:15,17037,17037,IN_SYNC,344,344,Verizon,-119.0,3666,GEN2,OK,2.98,51.18,0.06,905.51,0.1,0.0,0.0,True,"Metering and attaching normally: register +905.51 gal/45d, silence 3.0 h = 0.06x bound, battery 3666 mV, RSRP -119.0. Per rule, do not replace a working meter for marginal RSRP."
NO ACTION,7,Device 79463210,ONLINE,0.07,2026-08-31 16:33,17037,17037,IN_SYNC,344,344,AT&T,-119.0,3660,GEN2,OK,1.68,51.18,0.03,1347.735,0.1,0.0,0.0,True,"Metering and attaching normally: register +1347.735 gal/45d, silence 1.7 h = 0.03x bound, battery 3660 mV, RSRP -119.0. Per rule, do not replace a working meter for marginal RSRP."
