group,device,fwVer,sessions,hung_est,days_with_records_of_7,rsrp_med,meterVal_first,meterVal_last,usage_7d_gal
Ontario Place MHC,Device 70261316,17037,10,0,1,-113.0,136278.0,136282.0,4.0
Kingsbrook MHC,Device 77061416,16131,2,0,3,-123.0,12436.137,12440.09,3.95299999999952
Rustic Acres MHC,Device 79460562,17037,8,0,0,-119.0,1137.077,1141.0,3.923000000000002
La Comunidad MHC-CUST,Device 72381450,16022,6,0,1,-97.0,21849.117,21852.928,3.8110000000015134
Crystal Acres MHC,Device 70268964,17032,7,0,2,-109.0,170.427,174.227,3.8000000000000114
Aurora MHC-CUST,Device 70269921,16022,7,0,2,-87.0,27218.275,27221.902,3.6269999999967695
Aurora MHC-CUST,Device 72389412,17040,8,0,3,-88.0,282047.344,282050.813,3.469000000040978
Whispering Pines Mobile Estates-CUST,Device 70272362,362,7,0,1,-80.0,10819.392,10822.801,3.4089999999996508
Broadway MHP DesMoines,Device 75371813,17037,7,0,3,-116.0,228.906,232.06,3.1539999999999964
Kingsbrook MHC,Device 70270705,16131,6,0,1,-119.0,8873.988,8876.364,2.3760000000002037
La Comunidad MHC-CUST,Device 65822291,16185,7,0,1,-105.0,45979.285,45981.5,2.2149999999965075
Fair Meadows MHC,Device 77052084,16022,7,0,1,-108.0,609.079,611.276,2.1970000000000027
Chickadee Lane MHC,Device 70263049,16185,7,0,2,-102.0,8049.029,8051.216,2.186999999999898
Backwater MHC,Device 72387440,17032,7,0,2,-78.0,3344.778,3346.948,2.1700000000000728
