group,device,fwVer,sessions,completed,hung_est,days_with_records_of_7,rsrp_med
Paradise Village Cooperative MHC,Device 72720438,15154,7,6,0,7,-95.0
Paradise Village Cooperative MHC,Device 72717327,15154,7,6,0,7,-76.0
Paradise Village Cooperative MHC,Device 70272339,15154,7,6,0,7,-84.0
Paradise Village Cooperative MHC,Device 70268931,15154,6,6,0,7,-91.0
Paradise Village Cooperative MHC,Device 70273642,15154,7,6,0,7,-77.0
Paradise Village Cooperative MHC,Device 72715750,15154,7,6,0,7,-92.0
Paradise Village Cooperative MHC,Device 72721451,15154,6,5,0,7,-64.0
Paradise Village Cooperative MHC,Device 70272677,15154,9,8,0,7,-77.0
Paradise Village Cooperative MHC,Device 72720230,15154,7,6,0,7,-86.0
Paradise Village Cooperative MHC,Device 72714647,15154,7,6,0,7,-97.0
Paradise Village Cooperative MHC,Device 72392861,15154,7,6,0,7,-65.0
Paradise Village Cooperative MHC,Device 77059022,15154,7,6,0,7,-83.0
Paradise Village Cooperative MHC,Device 77056028,15154,7,6,0,7,-95.0
Kingsbrook MHC,Device 75370757,16131,7,6,0,7,-110.0
Kingsbrook MHC,Device 75360402,16131,7,6,0,7,-124.0
Kingsbrook MHC,Device 79454532,16131,7,6,0,7,-105.0
Kingsbrook MHC,Device 75367050,17040,7,6,0,0,-116.0
Kingsbrook MHC,Device 75367258,,0,0,0,,
Kingsbrook MHC,Device 75366722,16131,7,6,0,7,-110.0
Kingsbrook MHC,Device 79460612,16185,7,6,0,7,-103.0
Kingsbrook MHC,Device 79463277,16131,7,6,0,7,-114.0
Kingsbrook MHC,Device 75363620,16022,7,6,0,7,-124.0
Kingsbrook MHC,Device 79466643,16131,6,6,0,0,-121.0
Kingsbrook MHC,Device 75363547,,0,0,0,,
Kingsbrook MHC,Device 75368223,16022,6,6,0,6,-119.0
Kingsbrook MHC,Device 75366557,16185,7,6,0,7,-122.0
Kingsbrook MHC,Device 75368744,16131,7,6,0,7,-111.0
Kingsbrook MHC,Device 75366078,16131,7,6,0,0,-113.0
Kingsbrook MHC,Device 75368934,16131,3,3,0,0,-122.0
Kingsbrook MHC,Device 72716691,16131,6,5,0,5,-92.0
Kingsbrook MHC,Device 72714290,16131,7,6,0,7,-106.0
Kingsbrook MHC,Device 72714738,16128,7,6,0,7,-106.0
Kingsbrook MHC,Device 72718010,16022,7,6,0,7,-116.0
Kingsbrook MHC,Device 72714613,16131,6,5,0,5,-118.0
Kingsbrook MHC,Device 72720115,16131,7,6,0,0,-116.0
Kingsbrook MHC,Device 72720875,16131,7,6,0,7,-103.0
Kingsbrook MHC,Device 72714753,16131,7,6,0,6,-114.0
Kingsbrook MHC,Device 72716279,16131,7,6,0,1,-107.0
Kingsbrook MHC,Device 72716105,16131,7,6,0,0,-117.0
Kingsbrook MHC,Device 72714571,,0,0,0,,
Kingsbrook MHC,Device 72720958,16131,7,6,0,7,-114.0
Kingsbrook MHC,Device 72718085,16185,6,6,0,5,-114.0
Kingsbrook MHC,Device 72717632,16131,7,6,0,6,-109.0
Kingsbrook MHC,Device 72720057,16131,6,6,0,6,-118.0
Kingsbrook MHC,Device 72715685,16131,6,5,0,5,-112.0
Kingsbrook MHC,Device 72722467,16131,7,6,0,7,-103.0
Kingsbrook MHC,Kingsbrook 815HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 814HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 813HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 810HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 809HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 807HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 805HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 803HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 801HU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 799FA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 798AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 797OA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 794AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 788AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 787AM,,0,0,0,,
Kingsbrook MHC,Kingsbrook 786AM,,0,0,0,,
Kingsbrook MHC,Kingsbrook 785OA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 785FA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 783OA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 782AM,,0,0,0,,
Kingsbrook MHC,Kingsbrook 779AM,,0,0,0,,
Kingsbrook MHC,Kingsbrook 777SU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 777AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 775FA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 774FA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 773AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 770EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 766SU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 764FA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 763AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 761SU,,0,0,0,,
Kingsbrook MHC,Kingsbrook 758EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 755FA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 751FA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 747EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 747AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 746EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 745FA,,0,0,0,,
Kingsbrook MHC,Kingbrook 744AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 741EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 723EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 718EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 715EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 712AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 705GR,,0,0,0,,
Kingsbrook MHC,Kingsbrook 700MI,,0,0,0,,
Kingsbrook MHC,Kingsbrook 686AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 682AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 678EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 678AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 676MI,,0,0,0,,
Kingsbrook MHC,Kingsbrook 670EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 660AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 643EL,,0,0,0,,
Kingsbrook MHC,Kingsbrook 640MI,,0,0,0,,
Kingsbrook MHC,Kingsbrook 636AS,,0,0,0,,
Kingsbrook MHC,Kingsbrook 616FE,,0,0,0,,
Kingsbrook MHC,Kingsbrook 613FE,,0,0,0,,
Kingsbrook MHC,Kingsbrook 609FE,,0,0,0,,
Kingsbrook MHC,Kingsbrook 605FE,,0,0,0,,
Kingsbrook MHC,Kingsbrook 603FE,,0,0,0,,
Kingsbrook MHC,Kingsbrook 506ED,,0,0,0,,
Kingsbrook MHC,Kingsbrook 505ED,,0,0,0,,
Kingsbrook MHC,Kingsbrook 504ED,,0,0,0,,
Kingsbrook MHC,Kingsbrook 408DO,,0,0,0,,
Kingsbrook MHC,Kingsbrook 404DO,,0,0,0,,
Kingsbrook MHC,Kingsbrook 3213W,,0,0,0,,
Kingsbrook MHC,Kingsbrook 3211W,,0,0,0,,
Kingsbrook MHC,Kingsbrook 311CA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 310CA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 309CA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 307CA,,0,0,0,,
Kingsbrook MHC,Kingsbrook 2808V,,0,0,0,,
Kingsbrook MHC,Kingsbrook 2804V,,0,0,0,,
Kingsbrook MHC,Kingsbrook 123AB,,0,0,0,,
Kingsbrook MHC,Kingsbrook 116AB,,0,0,0,,
Kingsbrook MHC,Kingsbrook 115AB,,0,0,0,,
Kingsbrook MHC,Kingsbrook 111AB,,0,0,0,,
Kingsbrook MHC,Kingsbrook 110AB,,0,0,0,,
Kingsbrook MHC,Device 72390873,16131,6,5,0,6,-108.0
Kingsbrook MHC,Device 72388984,,0,0,0,,
Kingsbrook MHC,Device 72386897,16131,7,6,0,6,-103.0
Kingsbrook MHC,Device 72392804,16131,7,6,0,7,-116.0
Kingsbrook MHC,Device 72386913,16185,10,9,0,6,-105.0
Kingsbrook MHC,Device 72390808,16131,7,6,0,2,-111.0
Kingsbrook MHC,Device 72392218,16131,7,6,0,7,-112.0
Kingsbrook MHC,Device 70262934,16131,7,6,0,7,-101.0
Kingsbrook MHC,Device 72385477,16185,7,6,0,0,-96.0
Kingsbrook MHC,Device 72380882,16131,7,6,0,6,-114.0
Kingsbrook MHC,Device 70261126,16131,7,6,0,7,-111.0
Kingsbrook MHC,Device 70264666,16131,7,6,0,7,-117.0
Kingsbrook MHC,Device 70270606,16022,7,6,0,0,-115.0
Kingsbrook MHC,Device 70270705,16131,6,6,0,1,-119.0
Kingsbrook MHC,Device 70267198,,0,0,0,,
Kingsbrook MHC,Device 70262058,16131,7,6,0,7,-124.0
Kingsbrook MHC,Device 70259484,16131,7,6,0,7,-118.0
Kingsbrook MHC,Device 70270366,16131,7,6,0,7,-116.0
Kingsbrook MHC,Device 70265044,16022,7,6,0,7,-119.0
Kingsbrook MHC,Device 70259633,16131,7,6,0,7,-121.0
Kingsbrook MHC,Device 70260011,17037,5,4,0,4,-122.0
Kingsbrook MHC,Device 70267388,,0,0,0,,
Kingsbrook MHC,Device 70271034,16131,7,6,0,7,-113.0
Kingsbrook MHC,Device 70259435,16131,7,6,0,7,-115.0
Kingsbrook MHC,Device 70264161,16131,7,6,0,7,-112.0
Kingsbrook MHC,Device 70260342,16131,63,65,0,0,-119.0
Kingsbrook MHC,Device 70267719,16022,7,6,0,7,-111.0
Kingsbrook MHC,Device 70268030,16131,7,6,0,7,-113.0
Kingsbrook MHC,Device 77059980,16131,7,6,0,7,-120.0
Kingsbrook MHC,Device 70260375,16022,7,6,0,6,-122.0
Kingsbrook MHC,Device 70267479,16131,7,6,0,7,-116.0
Kingsbrook MHC,Device 70268204,16022,7,6,0,7,-119.0
Kingsbrook MHC,Device 70270945,16131,7,6,0,7,-114.0
Kingsbrook MHC,Device 70265192,16131,7,6,0,7,-115.0
Kingsbrook MHC,Device 70265119,16131,7,6,0,0,-111.0
Kingsbrook MHC,Device 70260714,16131,7,6,0,7,-110.0
Kingsbrook MHC,Device 77056895,16131,7,6,0,7,-113.0
Kingsbrook MHC,Device 70258973,16131,7,6,0,7,-119.0
Kingsbrook MHC,Device 70263718,16131,7,6,0,2,-122.0
Kingsbrook MHC,Device 70264278,,0,0,0,,
Kingsbrook MHC,Device 77059170,16131,5,4,0,0,-124.0
Kingsbrook MHC,Device 70267339,16131,7,6,0,7,-112.0
Kingsbrook MHC,Device 70261647,16131,6,6,0,7,-120.0
Kingsbrook MHC,Device 70265143,16131,7,6,0,7,-108.0
Kingsbrook MHC,Device 70273410,16131,7,6,0,7,-123.0
Kingsbrook MHC,Device 70258726,16131,5,6,0,4,-125.0
Kingsbrook MHC,Device 70263866,16131,7,6,0,7,-117.0
Kingsbrook MHC,Device 77059295,16022,7,6,0,7,-117.0
Kingsbrook MHC,Device 70263379,16131,7,6,0,7,-121.0
Kingsbrook MHC,Device 77054023,,0,0,0,,
Kingsbrook MHC,Device 77054254,16131,7,6,0,6,-113.0
Kingsbrook MHC,Device 77053330,16131,7,6,0,7,-109.0
Kingsbrook MHC,Device 77053520,16131,7,6,0,7,-119.0
Kingsbrook MHC,Device 77058503,16131,8,7,0,7,-113.0
Kingsbrook MHC,Device 77056705,16131,7,6,0,4,-113.0
Kingsbrook MHC,Device 77058461,16131,7,6,0,7,-118.0
Kingsbrook MHC,Device 77058438,16022,7,6,0,7,-113.0
Kingsbrook MHC,Device 77059881,16131,7,6,0,7,-114.0
Kingsbrook MHC,Device 77053249,16131,7,6,0,7,-115.0
Kingsbrook MHC,Device 77056119,16131,7,6,0,7,-118.0
Kingsbrook MHC,Device 77060186,16131,7,6,0,7,-103.0
Kingsbrook MHC,Device 77041665,16131,7,6,0,0,-112.0
Kingsbrook MHC,Device 77053165,16131,7,6,0,7,-116.0
Kingsbrook MHC,Device 77054544,16131,7,6,0,7,-111.0
Kingsbrook MHC,Device 77029082,16131,7,6,0,1,-110.0
Kingsbrook MHC,Device 77054197,16131,7,6,0,7,-108.0
Kingsbrook MHC,Device 77056572,,0,0,0,,
Kingsbrook MHC,Device 77036954,16131,7,6,0,7,-105.0
Kingsbrook MHC,Device 77061028,16131,7,6,0,7,-117.0
Kingsbrook MHC,Device 77060335,,0,0,0,,
Kingsbrook MHC,Device 77029140,16131,7,6,0,7,-120.0
Kingsbrook MHC,Device 77056655,16131,7,6,0,7,-110.0
Kingsbrook MHC,Device 77061333,16131,7,6,0,7,-111.0
Kingsbrook MHC,Device 77060210,16131,7,6,0,7,-109.0
Kingsbrook MHC,Device 77055293,16131,7,6,0,7,-116.0
Kingsbrook MHC,Device 77055954,,0,0,0,,
Kingsbrook MHC,Device 68618758,16131,7,6,0,7,-113.0
Kingsbrook MHC,Device 77060285,16131,7,6,0,0,-123.0
Kingsbrook MHC,Device 65827340,17037,7,6,0,7,-111.0
Kingsbrook MHC,Device 77055632,16131,7,6,0,7,-113.0
Kingsbrook MHC,Device 77055996,,0,0,0,,
Kingsbrook MHC,Device 77054346,16022,7,6,0,7,-114.0
Kingsbrook MHC,Device 77057091,16131,7,6,0,7,-106.0
Kingsbrook MHC,Device 77053983,16185,7,6,0,6,-108.0
Kingsbrook MHC,Device 77054098,,0,0,0,,
Kingsbrook MHC,Device 77054296,16131,7,6,0,4,-115.0
Kingsbrook MHC,Device 77057695,16131,7,6,0,7,-118.0
Kingsbrook MHC,Device 65824008,16131,7,6,0,7,-120.0
Kingsbrook MHC,Device 65825229,,0,0,0,,
Kingsbrook MHC,Device 77028803,16131,7,6,0,7,-116.0
Kingsbrook MHC,Device 65822051,16131,7,6,0,7,-110.0
Kingsbrook MHC,Device 77036632,16131,7,6,0,6,-111.0
Kingsbrook MHC,Device 77028852,16131,7,6,0,7,-108.0
Kingsbrook MHC,Device 77060277,16022,7,6,0,7,-122.0
Kingsbrook MHC,Device 77056218,16131,7,6,0,7,-109.0
Kingsbrook MHC,Device 77061341,16131,7,6,0,7,-111.0
Kingsbrook MHC,Device 77028886,16131,7,6,0,7,-108.0
Kingsbrook MHC,Device 77055426,16131,7,6,0,7,-108.0
Kingsbrook MHC,Device 77061887,16131,7,6,0,7,-121.0
Kingsbrook MHC,Device 77042226,16131,7,6,0,7,-113.0
Kingsbrook MHC,Device 77055111,16131,7,6,0,7,-108.0
Kingsbrook MHC,Device 77041749,16131,3,3,0,0,-126.0
Kingsbrook MHC,Device 77060442,16131,7,6,0,7,-118.0
Kingsbrook MHC,Device 77056606,16185,8,7,0,7,-117.0
Kingsbrook MHC,Device 65826433,16185,7,6,0,7,-104.0
Kingsbrook MHC,Device 77055244,16131,7,6,0,0,-110.0
Kingsbrook MHC,Device 77060095,16022,7,6,0,7,-115.0
Kingsbrook MHC,Device 77058537,16131,7,6,0,4,-113.0
Kingsbrook MHC,Device 77055392,,0,0,0,,
Kingsbrook MHC,Device 77028506,16185,7,6,0,6,-112.0
Kingsbrook MHC,Device 77055749,16131,7,6,0,7,-119.0
Kingsbrook MHC,Device 65824677,,0,0,0,,
Kingsbrook MHC,Device 77058669,16131,7,6,0,7,-116.0
Kingsbrook MHC,Device 77057661,16022,7,6,0,7,-110.0
Kingsbrook MHC,Device 77057240,16131,4,5,0,2,-126.0
Kingsbrook MHC,Device 77061416,16131,2,1,0,3,-123.0
Kingsbrook MHC,Device 65826425,16131,3,3,0,0,-123.0
Kingsbrook MHC,Device 77057950,16131,7,6,0,3,-117.0
Kingsbrook MHC,Device 77055772,16131,7,6,0,7,-117.0
Kingsbrook MHC,Device 65824750,16022,7,6,0,7,-108.0
Kingsbrook MHC,Device 65821996,16131,6,5,0,6,-112.0
Kingsbrook MHC,Device 65830237,16022,7,6,0,4,-113.0
Kingsbrook MHC,Device 65828785,16131,7,6,0,7,-109.0
Kingsbrook MHC,Device 65825310,16131,7,6,0,0,-101.0
Kingsbrook MHC,Device 65829023,16131,7,6,0,7,-113.0
Kingsbrook MHC,Device 65831045,16131,7,6,0,7,-112.0
Kingsbrook MHC,Device 65828496,16131,2,1,0,0,-122.0
Kingsbrook MHC,Device 65830435,16185,2,1,0,1,-118.0
Kingsbrook MHC,Device 65828074,16131,7,6,0,7,-111.0
Kingsbrook MHC,Device 65823976,,0,0,0,,
Ponderosa MHC,Device 75363984,17037,6,4,1,3,-117.0
Ponderosa MHC,Device 75360063,17037,6,5,0,4,-117.0
Ponderosa MHC,Device 75373967,17037,7,6,0,7,-110.0
Ponderosa MHC,Device 72719505,17037,7,6,0,7,-117.0
Ponderosa MHC,Device 72718341,17037,7,6,0,2,-106.0
Ponderosa MHC,Device 72721659,17037,7,6,0,3,-118.0
Ponderosa MHC,Device 72716733,17037,8,6,1,7,-117.0
Ponderosa MHC,Device 72385626,17037,7,6,0,7,-106.0
Ponderosa MHC,Device 72382649,17037,7,6,0,7,-101.0
Ponderosa MHC,Device 72385204,17037,7,6,0,7,-107.0
Ponderosa MHC,Device 72378183,17037,12,10,1,2,-109.0
Ponderosa MHC,Device 72385238,17037,7,6,0,7,-104.0
Ponderosa MHC,Device 70269541,17037,7,6,0,7,-106.0
Ponderosa MHC,Device 72386921,17037,7,6,0,7,-98.0
Ponderosa MHC,Device 72386095,17037,7,6,0,7,-113.0
Ponderosa MHC,Device 72380767,17037,7,5,1,0,-128.0
Ponderosa MHC,Device 72392168,17037,7,6,0,7,-116.0
Ponderosa MHC,Device 70262819,,0,0,0,,
Ponderosa MHC,Device 72390113,17037,7,6,0,7,-96.0
Ponderosa MHC,Device 72389016,17037,6,5,0,6,-110.0
Ponderosa MHC,Device 72388687,17037,9,9,0,4,-122.0
Ponderosa MHC,Device 72378605,17037,44,45,0,0,-117.0
Ponderosa MHC,Device 72388356,17037,11,11,0,0,-109.0
Ponderosa MHC,Device 70263619,17037,7,6,0,4,-111.0
Ponderosa MHC,Device 72378209,17037,4,3,0,0,-124.0
Ponderosa MHC,Device 72388125,17037,9,10,0,6,-103.0
Ponderosa MHC,Device 70263882,17037,7,8,0,0,-111.0
Ponderosa MHC,Device 72384934,,0,0,0,,
Ponderosa MHC,Device 72389933,17037,7,6,0,7,-109.0
Ponderosa MHC,Device 72392853,17037,9,8,0,0,-108.0
Ponderosa MHC,Device 72385501,17037,9,8,0,7,-105.0
Ponderosa MHC,Device 72385543,17037,6,5,0,7,-107.0
Ponderosa MHC,Device 72384827,17037,8,8,0,0,-119.0
Ponderosa MHC,Device 72384785,17037,7,6,0,7,-105.0
Ponderosa MHC,Device 72390238,17037,5,5,0,2,-124.0
Ponderosa MHC,Device 72390980,17037,7,6,0,7,-109.0
Ponderosa MHC,Device 72385337,17037,8,8,0,0,-106.0
Ponderosa MHC,Device 72382896,17037,7,6,0,0,-118.0
Ponderosa MHC,Device 72381005,17037,7,6,0,7,-105.0
Ponderosa MHC,Device 72380361,17037,8,9,0,0,-115.0
Ponderosa MHC,Device 72383175,17037,6,8,0,0,-123.0
Ponderosa MHC,Device 70269475,17037,7,6,0,7,-110.0
Ponderosa MHC,Device 72378274,17037,5,6,0,0,-106.0
Ponderosa MHC,Device 70269616,17037,9,8,0,0,-112.0
Ponderosa MHC,Device 72382722,17037,9,8,0,7,-97.0
Ponderosa MHC,Device 72390931,17037,11,10,0,7,-110.0
Ponderosa MHC,Device 72380965,17037,8,8,0,0,-106.0
Ponderosa MHC,Device 72390352,17037,7,6,0,5,-103.0
Ponderosa MHC,Device 72392721,17037,7,6,0,7,-102.0
Ponderosa MHC,Device 72380908,17037,18,17,0,0,-107.0
Ponderosa MHC,Device 72389768,17037,2,3,0,0,-99.0
Ponderosa MHC,Device 72383456,17037,7,6,0,7,-111.0
Ponderosa MHC,Device 72389537,17037,7,6,0,5,-103.0
Ponderosa MHC,Device 72385972,17037,4,5,0,0,-120.0
Ponderosa MHC,Device 72388190,17037,7,6,0,7,-108.0
Ponderosa MHC,Device 72389404,17037,11,10,0,0,-121.0
Ponderosa MHC,Device 72389388,16185,3,1,1,0,-120.0
Ponderosa MHC,Device 65822721,17037,6,6,0,7,-113.0
Ponderosa MHC,Device 65830807,16185,3,8,0,0,-122.0
Ponderosa MHC,Device 65829684,17037,7,6,0,7,-102.0
The Oaks MHC,Device 75369247,16131,7,6,0,6,-101.0
The Oaks MHC,Device 75362929,16131,6,5,0,6,-111.0
The Oaks MHC,Device 79465512,16131,6,5,0,6,-107.0
The Oaks MHC,Device 72381658,16131,6,5,0,7,-108.0
The Oaks MHC,Device 72389081,16131,6,5,0,7,-110.0
The Oaks MHC,Device 72391012,16131,6,6,0,5,-94.0
The Oaks MHC,Device 70269228,16131,7,6,0,7,-99.0
The Oaks MHC,Device 72392358,16131,7,6,0,7,-99.0
The Oaks MHC,Device 70263700,16131,7,6,0,7,-88.0
The Oaks MHC,Device 70260078,16131,7,6,0,7,-101.0
The Oaks MHC,Device 70261118,16131,7,6,0,7,-103.0
The Oaks MHC,Device 70273295,16131,7,6,0,7,-94.0
The Oaks MHC,Device 70266216,16131,7,6,0,7,-95.0
The Oaks MHC,Device 70270150,16131,7,6,0,7,-92.0
The Oaks MHC,Device 70270143,16131,9,8,0,7,-100.0
The Oaks MHC,Device 70261928,16131,7,6,0,7,-96.0
The Oaks MHC,Device 77053868,16131,7,6,0,7,-107.0
The Oaks MHC,Device 77055145,16131,7,6,0,7,-101.0
The Oaks MHC,Device 77055277,16131,7,6,0,6,-101.0
The Oaks MHC,Device 77041913,16131,7,6,0,7,-101.0
The Oaks MHC,Device 77061036,16131,7,6,0,7,-92.0
The Oaks MHC,Device 77042234,16131,7,6,0,7,-88.0
The Oaks MHC,Device 77053835,16131,7,6,0,7,-104.0
The Oaks MHC,Device 77057596,16131,7,6,0,7,-97.0
The Oaks MHC,Device 77058057,16131,7,6,0,7,-110.0
The Oaks MHC,Device 77056341,16185,7,6,0,7,-102.0
The Oaks MHC,Device 77056630,16131,7,6,0,7,-96.0
The Oaks MHC,Device 65828165,16131,7,6,0,7,-109.0
The Oaks MHC,Device 65830245,16131,7,6,0,0,-103.0
The Oaks MHC,Device 65826318,16131,7,6,0,7,-92.0
The Oaks MHC,Device 65827712,16131,7,6,0,5,-97.0
The Oaks MHC,Device 65828132,16131,7,6,0,7,-97.0
The Oaks MHC,Device 65828645,16131,7,6,0,7,-91.0
The Oaks MHC,Device 65830427,16131,7,6,0,7,-106.0
The Oaks MHC,Device 65825799,16131,14,13,0,7,-95.0
The Oaks MHC,Device 65828777,16131,7,6,0,7,-102.0
The Oaks MHC,Device 65831474,16131,7,6,0,7,-105.0
The Oaks MHC,Device 65825088,16131,7,6,0,7,-96.0
The Oaks MHC,Device 65824289,16131,7,6,0,7,-109.0
The Oaks MHC,Device 65822127,16131,7,6,0,7,-115.0
The Oaks MHC,Device 65822192,16131,7,6,0,7,-106.0
Scottsdale MHP,Device 2068608890,10706,0,0,0,,
Scottsdale MHP,Device 2068587912,10693,0,0,0,,
Scottsdale MHP,Device 2068574423,10671,0,0,0,,
Scottsdale MHP,Device 2068608379,10671,0,0,0,,
Scottsdale MHP,Device 2068593076,10671,0,0,0,,
Scottsdale MHP,Device 2068606944,10703,0,0,0,,
Scottsdale MHP,Device 2068597259,10671,0,0,0,,
Scottsdale MHP,Device 2068606274,10706,0,0,0,,
Scottsdale MHP,Device 2068607777,,0,0,0,,
Scottsdale MHP,Device 2068605565,10671,0,0,0,,
Scottsdale MHP,Device 2068603933,10706,50,80,0,0,-83.0
Scottsdale MHP,Device 2068605839,10706,2,3,0,0,-81.0
Scottsdale MHP,Device 2068608148,10671,0,0,0,,
Scottsdale MHP,Device 2068606597,10671,0,0,0,,
Scottsdale MHP,Device 2068608296,10706,0,0,0,,
Scottsdale MHP,Device 2068582715,10671,0,0,0,,
Scottsdale MHP,Device 2068614385,10706,0,0,0,,
Scottsdale MHP,Device 2068583929,10671,0,0,0,,
Scottsdale MHP,Device 2068608213,10671,0,0,0,,
Scottsdale MHP,Device 2068608031,,0,0,0,,
Scottsdale MHP,Device 2068605714,10706,0,0,0,,
Scottsdale MHP,Device 2068608403,10706,0,0,0,,
Scottsdale MHP,Device 2068587995,,0,0,0,,
Scottsdale MHP,Device 2068608700,10706,0,0,0,,
Scottsdale MHP,Device 2068608114,10671,2,1,0,0,-60.0
Scottsdale MHP,Device 2068614591,10706,0,0,0,,
Scottsdale MHP,Device 2068608957,10671,0,0,0,,
Scottsdale MHP,Device 2068606662,10671,0,0,0,,
Scottsdale MHP,Device 2068608619,10706,0,0,0,,
Scottsdale MHP,Device 2068605094,10671,0,0,0,,
Scottsdale MHP,Device 2068606761,10671,0,0,0,,
Scottsdale MHP,Device 2068574449,10671,0,0,0,,
Scottsdale MHP,Device 2068588480,,0,0,0,,
Scottsdale MHP,Device 2068584042,10671,0,0,0,,
Scottsdale MHP,Device 2068608825,10706,0,0,0,,
Scottsdale MHP,Device 2068607553,10706,0,0,0,,
Scottsdale MHP,Device 2068608569,10671,0,0,0,,
Scottsdale MHP,Device 2068607033,10706,0,0,0,,
Scottsdale MHP,Device 2068607454,10706,0,0,0,,
Scottsdale MHP,Device 2068605623,10706,0,0,0,,
Scottsdale MHP,Device 2068606985,10706,0,0,0,,
Scottsdale MHP,Device 2068599925,10706,0,0,0,,
Scottsdale MHP,Device 2068603974,10671,1,3,0,0,-86.0
Scottsdale MHP,Device 2068602406,10671,0,0,0,,
Scottsdale MHP,Device 2068604006,10703,0,0,0,,
Scottsdale MHP,Device 2068608601,10671,0,0,0,,
Scottsdale MHP,Device 2068599594,10706,0,0,0,,
Scottsdale MHP,Device 2068607371,10671,0,0,0,,
Scottsdale MHP,Device 2068599305,10706,0,0,0,,
Scottsdale MHP,Device 2068574571,10706,0,0,0,,
Scottsdale MHP,Device 2068606993,10706,0,0,0,,
Scottsdale MHP,Device 2068604063,10706,0,0,0,,
Scottsdale MHP,Device 2068608163,10671,0,0,0,,
Scottsdale MHP,Device 2068602539,10706,0,0,0,,
Scottsdale MHP,Device 2068602646,10706,0,0,0,,
Scottsdale MHP,Device 2068599677,10706,0,0,0,,
Scottsdale MHP,Device 2068597416,10671,0,0,0,,
Verandah MHC-Cust,Device 2041761896,10671,0,0,0,,
Verandah MHC-Cust,Device 2042740352,10671,0,0,0,,
Verandah MHC-Cust,Device 2049909836,10671,0,0,0,,
Verandah MHC-Cust,Device 2041742003,10706,0,0,0,,
Verandah MHC-Cust,Device 2049961662,10671,0,0,0,,
Verandah MHC-Cust,Device 2049962496,10671,0,0,0,,
Verandah MHC-Cust,Device 2041764130,10671,0,0,0,,
Verandah MHC-Cust,Device 2042730684,10671,0,0,0,,
Verandah MHC-Cust,Device 2042809868,10671,0,0,0,,
Verandah MHC-Cust,Device 2041759270,10671,0,0,0,,
Verandah MHC-Cust,Device 2041742201,10706,4,3,0,4,-67.0
Verandah MHC-Cust,Device 2042730817,10671,0,0,0,,
Verandah MHC-Cust,Device 2042809892,10671,0,0,0,,
Verandah MHC-Cust,Device 2042740303,10671,0,0,0,,
Verandah MHC-Cust,Device 2042736780,10671,0,0,0,,
Verandah MHC-Cust,Device 2042809744,10671,0,0,0,,
Verandah MHC-Cust,Device 2041739959,10671,0,0,0,,
Verandah MHC-Cust,Device 2041742672,10671,0,0,0,,
